奥迪A4(进口)
基本信息
车款名称,"21款 Avant 先锋派 40TFSI 时尚致雅型
","21款 Avant 先锋派 40TFSI 时尚动感型
","21款 Avant 先锋派 40TFSI 豪华动感型
","21款 45TFSI allroad quattro 探索家版
"
厂商指导价,"34.98万
","34.98万
","38.98万
","41.88万
"
城市参考价,"31.48万
3.5万
","31.48万
3.5万
","35.08万
3.9万
","37.69万
4.19万
"
上市时间,"2020-12-20
","2020-12-20
","2020-12-20
","2020-12-20
"
车型级别,"中型车
","中型车
","中型车
","中型车
"
车身型式,"旅行车
","旅行车
","旅行车
","跨界车
"
动力类型,"汽油
","汽油
","汽油
","汽油
"
发动机,"2.0T 直列 4缸 涡轮增压
","2.0T 直列 4缸 涡轮增压
","2.0T 直列 4缸 涡轮增压
","2.0T 直列 4缸 涡轮增压
"
最大功率/最大扭矩,"150kW/320N.m
","150kW/320N.m
","150kW/320N.m
","185kW/370N.m
"
变速箱类型,"7挡 湿式双离合
","7挡 湿式双离合
","7挡 湿式双离合
","7挡 湿式双离合
"
工信部综合油耗[L/100km],"6.6
","6.6
","6.6
","7.9
"
最高车速[km/h],"235
","235
","235
","246
"
环保标准,"国六
","国六
","国六
","国六
"
保修政策,"3年或10万公里
","3年或10万公里
","3年或10万公里
","3年或10万公里
"
外观颜色,"#dbddda冰川白
#051111传奇黑
#D2180B斗牛士红
#a2a7aa花剑银
#3a3b3d曼哈顿灰
#002782纳瓦拉蓝
#000000旋风黑
#ffffff朱鹭白
#8c959e星云灰
","#0176d7流光蓝
#dbddda冰川白
#051111传奇黑
#D2180B斗牛士红
#63605B量子灰
#002782纳瓦拉蓝
#46474a天云灰
#ffffff朱鹭白
#8c959e星云灰
","#0176d7流光蓝
#dbddda冰川白
#051111传奇黑
#D2180B斗牛士红
#a2a7aa花剑银
#63605B量子灰
#3a3b3d曼哈顿灰
#002782纳瓦拉蓝
#46474a天云灰
#000000旋风黑
#ffffff朱鹭白
#8c959e星云灰
","#dbddda冰川白
#051111传奇黑
#a2a7aa花剑银
#63605B量子灰
#3a3b3d曼哈顿灰
#002782纳瓦拉蓝
#000000旋风黑
#ffffff朱鹭白
#8c959e星云灰
"
内饰颜色,"#1a161a黑色
#000000,#a2a7aa黑色/岩石灰
#5A524A,#cbc0b3摩尔棕/阿特拉斯米
#000000,#64372C黑色/霍加狓棕
","#1a161a黑色
#000000,#a2a7aa黑色/岩石灰
#5A524A,#cbc0b3摩尔棕/阿特拉斯米
#000000,#64372C黑色/霍加狓棕
","#1a161a黑色
#000000,#a2a7aa黑色/岩石灰
#5A524A,#cbc0b3摩尔棕/阿特拉斯米
#000000,#64372C黑色/霍加狓棕
","#1a161a黑色
#000000,#a2a7aa黑色/岩石灰
#5A524A,#cbc0b3摩尔棕/阿特拉斯米
#000000,#64372C黑色/霍加狓棕
"
车身尺寸
长*宽*高[mm],"4762*1847*1436
","4762*1847*1436
","4762*1847*1436
","4762*1847*1490
"
轴距[mm],"2825
","2825
","2825
","2817
"
整备质量[kg],"1665
","1665
","1665
","1740
"
座位数[个],"5
","5
","5
","5
"
油箱容积[L],"54.0
","54.0
","54.0
","58.0
"
前轮胎规格,"245/40 R18
","245/40 R18
","245/40 R18
","245/45 R18
"
后轮胎规格,"245/40 R18
","245/40 R18
","245/40 R18
","245/45 R18
"
备胎,"非全尺寸
","非全尺寸
","非全尺寸
","非全尺寸
"
动力系统
发动机型号,"1984
","1984
","1984
","1984
"
排量[mL],"1984
","1984
","1984
","1984
"
进气形式,"涡轮增压
","涡轮增压
","涡轮增压
","涡轮增压
"
缸体排列形式,"直列
","直列
","直列
","直列
"
气缸数,"4
","4
","4
","4
"
最大功率[kW],"150
","150
","150
","185
"
最大马力[Ps],"204
","204
","204
","252
"
最大扭矩[N·m],"320
","320
","320
","370
"
燃油标号,"95号
","95号
","95号
","95号
"
供油方式,"混合喷射
","混合喷射
","混合喷射
","混合喷射
"
变速箱类型,"湿式双离合
","湿式双离合
","湿式双离合
","湿式双离合
"
挡位个数,"7
","7
","7
","7
"
底盘制动
驱动形式,"前轮驱动
","前轮驱动
","前轮驱动
","适时四驱
"
前悬架类型,"多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
"
后悬架类型,"多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
"
助力类型,"电动助力
","电动助力
","电动助力
","电动助力
"
可调悬架功能,"-
","-
","-
","○
"
可调悬架种类,"-
","-
","-
","○电磁感应悬架13500元
"
前轮制动类型,"通风盘
","通风盘
","通风盘
","通风盘
"
后轮制动类型,"盘式
","盘式
","盘式
","通风盘
"
驻车制动类型,"电子驻车
","电子驻车
","电子驻车
","电子驻车
"
车体结构,"承载式
","承载式
","承载式
","承载式
"
限滑差速器/差速锁,"-
","-
","-
","-
"
安全配置
防抱死制动(ABS),"●
","●
","●
","●
"
制动力分配(EBD/CBC等),"●
","●
","●
","●
"
制动辅助(BA/EBA等),"●
","●
","●
","●
"
牵引力控制(ARS/TCS等),"●
","●
","●
","●
"
车身稳定控制(ESP/DSC等),"●
","●
","●
","●
"
