奥迪A4L
基本信息
车款名称,"21款 40 TFSI 进享人生版
","20款 35 TFSI 时尚动感型
","20款 40 TFSI 时尚致雅型
","20款 40 TFSI 豪华致雅型
","20款 40 TFSI quattro 豪华致雅型
","20款 40 TFSI 时尚动感型
","20款 40 TFSI 豪华动感型
","20款 40 TFSI quattro 豪华动感型
","20款 45 TFSI quattro 臻选致雅型
","20款 45 TFSI quattro 臻选动感型
"
厂商指导价,"-
","30.58万
","31.88万
","34.38万
","36.38万
","31.88万
","34.38万
","36.38万
","39.68万
","39.68万
"
城市参考价,"万

","25.38万
5.2万
","26.46万
5.42万
","28.19万
6.19万
","29.83万
6.55万
","26.46万
5.42万
","28.19万
6.19万
","29.83万
6.55万
","32.54万
7.14万
","32.54万
7.14万
"
上市时间,"-
","2020-04-10
","2020-04-10
","2020-04-10
","2020-04-10
","2020-04-10
","2020-04-10
","2020-04-10
","2020-04-10
","2020-04-10
"
车型级别,"中型车
","中型车
","中型车
","中型车
","中型车
","中型车
","中型车
","中型车
","中型车
","中型车
"
车身型式,"三厢
","三厢
","三厢
","三厢
","三厢
","三厢
","三厢
","三厢
","三厢
","三厢
"
动力类型,"汽油
","汽油
","汽油
","汽油
","汽油
","汽油
","汽油
","汽油
","汽油
","汽油
"
发动机,"2.0T 直列 4缸 涡轮增压
","2.0T 直列 4缸 涡轮增压
","2.0T 直列 4缸 涡轮增压
","2.0T 直列 4缸 涡轮增压
","2.0T 直列 4缸 涡轮增压
","2.0T 直列 4缸 涡轮增压
","2.0T 直列 4缸 涡轮增压
","2.0T 直列 4缸 涡轮增压
","2.0T 直列 4缸 涡轮增压
","2.0T 直列 4缸 涡轮增压
"
最大功率/最大扭矩,"140kW/320N.m
","110kW/270N.m
","140kW/320N.m
","140kW/320N.m
","140kW/320N.m
","140kW/320N.m
","140kW/320N.m
","140kW/320N.m
","185kW/370N.m
","185kW/370N.m
"
变速箱类型,"7挡 湿式双离合
","7挡 湿式双离合
","7挡 湿式双离合
","7挡 湿式双离合
","7挡 湿式双离合
","7挡 湿式双离合
","7挡 湿式双离合
","7挡 湿式双离合
","7挡 湿式双离合
","7挡 湿式双离合
"
工信部综合油耗[L/100km],"6.1
","6.2
","6.1
","6.1
","6.7
","6.1
","6.1
","6.7
","7.3
","7.3
"
0-100km/h加速时间[s],"8.2
","9.7
","8.2
","8.2
","8.0
","8.2
","8.2
","8.0
","6.6
","6.6
"
最高车速[km/h],"230
","220
","230
","230
","230
","230
","230
","230
","240
","240
"
环保标准,"国六
","国六
","国六
","国六
","国六
","国六
","国六
","国六
","国六
","国六
"
保修政策,"3年或10万公里
","3年或10万公里
","3年或10万公里
","3年或10万公里
","3年或10万公里
","3年或10万公里
","3年或10万公里
","3年或10万公里
","3年或10万公里
","3年或10万公里
"
外观颜色,"#575b5a天云灰
","#efeeea朱鹭白
#9f9c8e白金色
#000000传奇黑
#292f86探索蓝
#575b5a天云灰
#9e0f0f斗牛红
#ef973e鎏金橙
","#efeeea朱鹭白
#9f9c8e白金色
#000000传奇黑
#292f86探索蓝
#575b5a天云灰
#9e0f0f斗牛红
#ef973e鎏金橙
","#efeeea朱鹭白
#9f9c8e白金色
#000000传奇黑
#292f86探索蓝
#575b5a天云灰
#9e0f0f斗牛红
#ef973e鎏金橙
","#efeeea朱鹭白
#9f9c8e白金色
#000000传奇黑
#292f86探索蓝
#575b5a天云灰
#9e0f0f斗牛红
#ef973e鎏金橙
","#efeeea朱鹭白
#9f9c8e白金色
#000000传奇黑
#292f86探索蓝
#575b5a天云灰
#9e0f0f斗牛红
#ef973e鎏金橙
","#efeeea朱鹭白
#9f9c8e白金色
#000000传奇黑
#292f86探索蓝
#575b5a天云灰
#9e0f0f斗牛红
#ef973e鎏金橙
","#efeeea朱鹭白
#9f9c8e白金色
#000000传奇黑
#292f86探索蓝
#575b5a天云灰
#9e0f0f斗牛红
#ef973e鎏金橙
","#efeeea朱鹭白
#9f9c8e白金色
#000000传奇黑
#292f86探索蓝
#575b5a天云灰
#9e0f0f斗牛红
#ef973e鎏金橙
","#efeeea朱鹭白
#9f9c8e白金色
#000000传奇黑
#292f86探索蓝
#575b5a天云灰
#9e0f0f斗牛红
#ef973e鎏金橙
"
