奥迪A5
基本信息
车款名称,"21款 Coupe 40 TFSI 时尚动感型
","21款 Sportback 40 TFSI 时尚致雅型
","21款 Sportback 40 TFSI quattro 豪华致雅型
","21款 Sportback 40 TFSI 时尚动感型
","21款 Sportback 40 TFSI quattro 豪华动感型
","21款 Cabriolet 40 TFSI 时尚动感型
","21款 Coupe 45TFSI quattro 臻选动感型
","21款 Sportback 45TFSI quattro 臻选动感型
","21款 Cabriolet 45TFSI quattro 臻选动感型
"
厂商指导价,"37.18万
","37.18万
","40.48万
","37.18万
","40.48万
","47.68万
","47.98万
","47.98万
","55.18万
"
城市参考价,"34.58万
2.6万
","34.58万
2.6万
","37.65万
2.83万
","34.58万
2.6万
","37.65万
2.83万
","44.34万
3.34万
","44.62万
3.36万
","44.62万
3.36万
","51.32万
3.86万
"
上市时间,"2020-11-13
","2020-11-13
","2020-11-13
","2020-11-13
","2020-11-13
","2020-11-13
","2020-11-13
","2020-11-13
","2020-11-13
"
车型级别,"中型车
","中型车
","中型车
","中型车
","中型车
","中型车
","中型车
","中型车
","中型车
"
车身型式,"跑车
","掀背车
","掀背车
","掀背车
","掀背车
","敞篷车
","跑车
","掀背车
","敞篷车
"
动力类型,"汽油
","汽油
","汽油
","汽油
","汽油
","汽油
","汽油
","汽油
","汽油
"
发动机,"2.0T 直列 4缸 涡轮增压
","2.0T 直列 4缸 涡轮增压
","2.0T 直列 4缸 涡轮增压
","2.0T 直列 4缸 涡轮增压
","2.0T 直列 4缸 涡轮增压
","2.0T 直列 4缸 涡轮增压
","2.0T 直列 4缸 涡轮增压
","2.0T 直列 4缸 涡轮增压
","2.0T 直列 4缸 涡轮增压
"
最大功率/最大扭矩,"150kW/320N.m
","150kW/320N.m
","150kW/320N.m
","150kW/320N.m
","150kW/320N.m
","150kW/320N.m
","185kW/370N.m
","185kW/370N.m
","185kW/370N.m
"
变速箱类型,"7挡 湿式双离合
","7挡 湿式双离合
","7挡 湿式双离合
","7挡 湿式双离合
","7挡 湿式双离合
","7挡 湿式双离合
","7挡 湿式双离合
","7挡 湿式双离合
","7挡 湿式双离合
"
工信部综合油耗[L/100km],"6.3
","6.4
","7.0
","6.4
","7.0
","6.5
","7.0
","7.2
","7.2
"
0-100km/h加速时间[s],"7.6
","7.7
","7.5
","7.7
","7.5
","7.9
","6.2
","6.4
","6.6
"
最高车速[km/h],"243
","244
","241
","244
","241
","237
","250
","250
","250
"
环保标准,"国六
","国六
","国六
","国六
","国六
","国六
","国六
","国六
","国六
"
保修政策,"3年或10万公里
","3年或10万公里
","3年或10万公里
","3年或10万公里
","3年或10万公里
","3年或10万公里
","3年或10万公里
","3年或10万公里
","3年或10万公里
"
外观颜色,"#007dca流光蓝
#ffffff朱鹭白
#3c5136耀夜绿
#16203B纳瓦拉蓝
#dce0df冰川白
#676a6f天云灰
#5D5E58量子灰
#383c41曼哈顿灰
#c8cccb花剑银
#781021探戈红
","#007dca流光蓝
#ffffff朱鹭白
#3c5136耀夜绿
#16203B纳瓦拉蓝
#dce0df冰川白
#5D5E58量子灰
#383c41曼哈顿灰
#c8cccb花剑银
#781021探戈红
","#007dca流光蓝
#ffffff朱鹭白
#3c5136耀夜绿
#16203B纳瓦拉蓝
#dce0df冰川白
#5D5E58量子灰
#383c41曼哈顿灰
#c8cccb花剑银
#781021探戈红
","#007dca流光蓝
#ffffff朱鹭白
#3c5136耀夜绿
#16203B纳瓦拉蓝
#dce0df冰川白
#676a6f天云灰
#5D5E58量子灰
#383c41曼哈顿灰
#c8cccb花剑银
#781021探戈红
","#007dca流光蓝
#ffffff朱鹭白
#3c5136耀夜绿
#16203B纳瓦拉蓝
#dce0df冰川白
#676a6f天云灰
#5D5E58量子灰
#383c41曼哈顿灰
#c8cccb花剑银
#781021探戈红
","#007dca流光蓝
#ffffff朱鹭白
#3c5136耀夜绿
#16203B纳瓦拉蓝
#dce0df冰川白
#676a6f天云灰
#5D5E58量子灰
#383c41曼哈顿灰
#c8cccb花剑银
#781021探戈红
","#007dca流光蓝
#ffffff朱鹭白
#3c5136耀夜绿
#16203B纳瓦拉蓝
#dce0df冰川白
#676a6f天云灰
#5D5E58量子灰
#383c41曼哈顿灰
#c8cccb花剑银
#781021探戈红
","#007dca流光蓝
#ffffff朱鹭白
#3c5136耀夜绿
#16203B纳瓦拉蓝
#dce0df冰川白
#676a6f天云灰
#5D5E58量子灰
#383c41曼哈顿灰
#c8cccb花剑银
#781021探戈红
","#007dca流光蓝
#ffffff朱鹭白
#3c5136耀夜绿
#16203B纳瓦拉蓝
#dce0df冰川白
#676a6f天云灰
#5D5E58量子灰
#383c41曼哈顿灰
#c8cccb花剑银
#781021探戈红
"
内饰颜色,"#000000黑色
#000000,#92583e黑色/金奈棕
","#000000黑色
#000000,#92583e黑色/金奈棕
","#000000黑色
#000000,#92583e黑色/金奈棕
","#000000黑色
#000000,#92583e黑色/金奈棕
","#000000黑色
#000000,#92583e黑色/金奈棕
","#000000黑色
#000000,#92583e黑色/金奈棕
","#000000黑色
#000000,#92583e黑色/金奈棕
","#000000黑色
#000000,#92583e黑色/金奈棕
","#000000黑色
#000000,#92583e黑色/金奈棕
"
车身尺寸
长*宽*高[mm],"4705*1846*1341
","4757*1843*1358
","4757*1843*1358
","4765*1843*1358
","4765*1843*1360
","4705*1846*1359
","4705*1846*1341
","4765*1843*1357
","4705*1846*1359
"
轴距[mm],"2766
","2826
","2825
","2826
","2825
","2766
","2766
","2826
","2766
"
整备质量[kg],"1615
","1640
","1720
","1640
","1720
","1745
","1665
","1705
","1810
"
座位数[个],"4
","5
","5
","5
","5
","4
","4
","5
","4
"
行李厢容积[L],"480
","480
","480
","480
","480
","480
","480
","480
","480
"
油箱容积[L],"54.0
","54.0
","58.0
","54.0
","58.0
","54.0
","58.0
","58.0
","58.0
"
前轮胎规格,"245/40 R18
","245/40 R18
","255/35 R19
","245/40 R18
","255/35 R19
","245/40 R18
","255/35 R19
","255/35 R19
","255/35 R19
"
后轮胎规格,"245/40 R18
","245/40 R18
","255/35 R19
","245/40 R18
","255/35 R19
","245/40 R18
","255/35 R19
","255/35 R19
","255/35 R19
"
备胎,"非全尺寸
","非全尺寸
","非全尺寸
","非全尺寸
","非全尺寸
","非全尺寸
","非全尺寸
","非全尺寸
","非全尺寸
"
动力系统
发动机型号,"-
","DKY
","DKY
","DKY
","DKY
","-
","-
","-
","-
"
排量[mL],"1984
","1984
","1984
","1984
","1984
","1984
","1984
","1984
","1984
"
进气形式,"涡轮增压
","涡轮增压
","涡轮增压
","涡轮增压
","涡轮增压
","涡轮增压
","涡轮增压
","涡轮增压
","涡轮增压
"
缸体排列形式,"直列
","直列
","直列
","直列
","直列
","直列
","直列
","直列
","直列
"
气缸数,"4
","4
","4
","4
","4
","4
","4
","4
","4
"
最大功率[kW],"150
","150
","150
","150
","150
","150
","185
","185
","185
"
最大马力[Ps],"204
","204
","204
","204
","204
","204
","252
","252
","252
"
最大功率转速[rpm],"-
","-
","-
","-
","-
","-
","5000-6000
","5000-6000
","5000-6000
"
最大扭矩[N·m],"320
","320
","320
","320
","320
","320
","370
","370
","370
"
最大扭矩转速[rpm],"-
","-
","-
","-
","-
","-
","1600-4500
","1600-4500
","1600-4500
"
燃油标号,"95号
","95号
","95号
","95号
","95号
","95号
","95号
","95号
","95号
"
供油方式,"混合喷射
","混合喷射
","混合喷射
","混合喷射
","混合喷射
","混合喷射
","混合喷射
","混合喷射
","混合喷射
"
变速箱类型,"湿式双离合
","湿式双离合
","湿式双离合
","湿式双离合
","湿式双离合
","湿式双离合
","湿式双离合
","湿式双离合
","湿式双离合
"
挡位个数,"7
","7
","7
","7
","7
","7
","7
","7
","7
"
底盘制动
驱动形式,"前轮驱动
","前轮驱动
","适时四驱
","前轮驱动
","适时四驱
","前轮驱动
","适时四驱
","适时四驱
","适时四驱
"
前悬架类型,"多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
"
后悬架类型,"多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
"
助力类型,"电动助力
","电动助力
","电动助力
","电动助力
","电动助力
","电动助力
","电动助力
","电动助力
","电动助力
"
可调悬架功能,"○选配4400元
","○选配4400元
","○选配4400元
","○选配4400元
","○选配4400元
","○选配4400元
","○选配4400元
","○选配4400元
","○选配4400元
"
可调悬架种类,"-
","-
","-
","-
","-
","-
","-
","-
","-
"
前轮制动类型,"通风盘
","通风盘
","通风盘
","通风盘
","通风盘
","通风盘
","通风盘
","通风盘
","通风盘
"
后轮制动类型,"盘式
","盘式
","盘式
","盘式
","盘式
","盘式
","盘式
","盘式
","盘式
"
驻车制动类型,"电子驻车
","电子驻车
","电子驻车
","电子驻车
","电子驻车
","电子驻车
","电子驻车
","电子驻车
","电子驻车
"
车体结构,"承载式
","承载式
","承载式
","承载式
","承载式
","承载式
","承载式
","承载式
","承载式
"
限滑差速器/差速锁,"-
","-
","-
","-
","-
","-
","-
","-
","-
"
安全配置
防抱死制动(ABS),"●
","●
","●
","●
","●
","●
","●
","●
","●
"
制动力分配(EBD/CBC等),"●
","●
","●
","●
","●
","●
","●
","●
","●
"
制动辅助(BA/EBA等),"●
","●
","●
","●
","●
","●
","●
","●
","●
"
牵引力控制(ARS/TCS等),"●
","●
","●
","●
","●
","●
","●
","●
","●
"
车身稳定控制(ESP/DSC等),"●
","●
","●
","●
","●
","●
","●
","●
","●
"
主驾驶安全气囊,"●
","●
","●
","●
","●
","●
","●
","●
","●
"
副驾驶安全气囊,"●
","●
","●
","●
","●
","●
","●
","●
","●
"
前侧气囊,"●
","●
","●
","●
","●
","●
","●
","●
","●
"
后侧气囊,"-
","-
","-
","-
","-
","-
","-
","-
","-
"
侧安全气帘,"●
","●
","●
","●
","●
","-
","●
","●
","-
"
膝部气囊,"-
","-
","-
","-
","-
","-
","-
","-
","-
"
安全带气囊,"-
","-
","-
","-
","-
","-
","-
","-
","-
"
后排中央气囊,"-
","-
","-
","-
","-
","-
","-
","-
","-
"
被动行人保护,"-
","-
","-
","-
","-
","-
","-
","-
","-
"
胎压监测,"●
","●
","●
","●
","●
","●
","●
","●
","●
"
零胎压续行轮胎,"-
","-
","-
","-
","-
","-
","-
","-
","-
"
儿童座椅接口(ISO FIX/LATCH),"●
","●
","●
","●
","●
","●
","●
","●
","●
"
驾驶辅助
前倒车雷达,"●
","●
","●
","●
","●
","●
","●
","●
","●
"
后倒车雷达,"●
","●
","●
","●
","●
","●
","●
","●
","●
"
倒车车侧预警系统,"○
","○
","○
","○
","○
","○
","○
","○
","○
"
驻车影像系统,"○后方影像5800元
○360度全景摄像24000元
","○后方影像5800元
○360度全景摄像24000元
","●后方影像
○360度全景摄像18200元
","○后方影像5800元
○360度全景摄像24000元
","●后方影像
○360度全景摄像18200元
","○后方影像5800元
○360度全景摄像24000元
","●后方影像
○360度全景摄像14700元
","●后方影像
○360度全景摄像14700元
","●后方影像
○360度全景摄像14700元
"
巡航系统,"○定速巡航3900元
○ACC自适应巡航20000元
","○定速巡航3900元
○ACC自适应巡航20000元
","●定速巡航
○ACC自适应巡航16100元
","○定速巡航3900元
○ACC自适应巡航20000元
","●定速巡航
○ACC自适应巡航16100元
","○定速巡航3900元
○ACC自适应巡航20000元
","●ACC自适应巡航
","●ACC自适应巡航
","●ACC自适应巡航
"
驾驶模式选择,"●
","●
","●
","●
","●
","●
","●
","●
","●
"
车道保持,"○选配6500元
","○选配6500元
","○选配6500元
","○选配6500元
","○选配6500元
","○选配6500元
","●
","●
","●
"
车道偏离预警,"○
","○
","○
","○
","○
","○
","●
","●
","●
"
道路交通标识识别,"-
","-
","-
","-
","-
","-
","-
","-
","-
"
并线辅助,"○
","○
","○
","○
","○
","○
","○
","○
","○
"
碰撞报警/主动刹车,"○选配5500元
","○选配5500元
","○选配5500元
","○选配5500元
","○选配5500元
","○选配5500元
","○选配5500元
","○选配5500元
","○选配5500元
"
疲劳提醒,"●
","●
","●
","●
","●
","●
","●
","●
","●
"
自动泊车,"○选配3500元
","○选配3500元
","○选配3500元
","○选配3500元
","○选配3500元
","○选配3500元
","●
","●
","●
"
遥控泊车,"-
","-
","-
","-
","-
","-
","-
","-
","-
"
发动机启停,"●
","●
","●
","●
","●
","●
","●
","●
","●
"
自动驾驶辅助,"○
","○
","○
","○
","○
","○
","○
","○
","○
"
自动驻车,"●
","●
","●
","●
","●
","●
","●
","●
","●
"
上坡辅助,"●
","●
","●
","●
","●
","●
","●
","●
","●
"
陡坡缓降,"-
","-
","-
","-
","-
","-
","-
","-
","-
"
夜视系统,"-
","-
","-
","-
","-
","-
","-
","-
","-
"
可变齿比转向,"○选配12900元
","○选配12900元
","○选配12900元
","○选配12900元
","○选配12900元
","○选配12900元
","○选配12900元
","○选配12900元
","○选配12900元
"
整体主动转向系统,"-
","-
","-
","-
","-
","-
","-
","-
","-
"
外部配置
近光灯光源,"●LED
","●LED
","●LED
","●LED
","●LED
","●LED
","●LED
","●LED
","●LED
"
远光灯光源,"●LED
○激光5500元
","●LED
○激光5500元
","●LED
○激光5500元
","●LED
○激光5500元
","●LED
○激光5500元
","●LED
○激光5500元
","●激光
","●激光
","●激光
"
灯光特色功能,"●矩阵式
","●矩阵式
","●矩阵式
","●矩阵式
","●矩阵式
","●矩阵式
","●矩阵式
","●矩阵式
","●矩阵式
"
LED日间行车灯,"●
","●
","●
","●
","●
","●
","●
","●
","●
"
大灯功能,"●自动开闭
●自动远近光
●自动转向
","●自动开闭
●自动远近光
●自动转向
","●自动开闭
●自动远近光
●自动转向
","●自动开闭
●自动远近光
●自动转向
","●自动开闭
●自动远近光
●自动转向
","●自动开闭
●自动远近光
●自动转向
","●自动开闭
●自动远近光
●自动转向
","●自动开闭
●自动远近光
●自动转向
","●自动开闭
●自动远近光
●自动转向
"
前雾灯,"-
","-
","-
","-
","-
","-
","-
","-
","-
"
大灯调节/清洗,"●高度调节
○大灯清洗
","●高度调节
○大灯清洗
","●高度调节
○大灯清洗
","●高度调节
○大灯清洗
","●高度调节
○大灯清洗
","●高度调节
○大灯清洗
","●高度调节
●大灯清洗
","●高度调节
●大灯清洗
","●高度调节
●大灯清洗
"
天窗类型,"●单天窗
","●单天窗
","●单天窗
","●单天窗
","●单天窗
","-
","●单天窗
","●单天窗
","-
"
运动外观套件,"-
","-
","-
","-
","-
","-
","-
","-
","-
"
轮圈材质,"铝合金轮圈
","铝合金轮圈
","铝合金轮圈
","铝合金轮圈
","铝合金轮圈
","铝合金轮圈
","铝合金轮圈
","铝合金轮圈
","铝合金轮圈
"
前电动车窗,"●
","●
","●
","●
","●
","●
","●
","●
","●
"
后电动车窗,"-
","●
","●
","●
","●
","-
","-
","●
","-
"
车窗一键升降,"●全车
","●全车
","●全车
","●全车
","●全车
","●全车
","●全车
","●全车
","●全车
"
车窗防夹手功能,"●
","●
","●
","●
","●
","●
","●
","●
","●
"
多层隔音玻璃,"-
","-
","-
","-
","-
","-
","-
","-
","-
"
外后视镜电动调节,"●电动调节
●后视镜加热
○电动折叠4800元
○后视镜记忆
","●电动调节
●后视镜加热
○电动折叠4800元
○后视镜记忆
","●电动调节
●后视镜加热
○电动折叠4800元
○后视镜记忆
","●电动调节
●后视镜加热
○电动折叠4800元
○后视镜记忆
","●电动调节
●后视镜加热
○电动折叠4800元
○后视镜记忆
","●电动调节
●后视镜加热
○电动折叠4800元
○后视镜记忆
","●电动调节
●电动折叠
●后视镜加热
○后视镜记忆
","●电动调节
●电动折叠
●后视镜加热
○后视镜记忆
","●电动调节
●电动折叠
●后视镜加热
○后视镜记忆
"
外后视镜自动防眩目,"○
","○
","○
","○
","○
","○
","●
","●
","●
"
内后视镜自动防眩目,"○选配2500元
","○选配2500元
","○选配2500元
","○选配2500元
","○选配2500元
","○选配2500元
","●
","●
","●
"
流媒体内后视镜,"-
","-
","-
","-
","-
","-
","-
","-
","-
"
流媒体外后视镜,"-
","-
","-
","-
","-
","-
","-
","-
","-
"
隔热/隐私玻璃,"-
","-
","-
","-
","-
","-
","-
","-
","-
"
后排侧遮阳帘,"-
","-
","-
","-
","-
","-
","-
","-
","-
"
后遮阳帘,"-
","-
","-
","-
","-
","-
","-
","-
","-
"
前雨刷器,"●感应雨刷
","●感应雨刷
","●感应雨刷
","●感应雨刷
","●感应雨刷
","●感应雨刷
","●感应雨刷
","●感应雨刷
","●感应雨刷
"
后雨刷器,"-
","-
","-
","-
","-
","-
","-
","-
","-
"
可加热喷水嘴,"-
","-
","-
","-
","-
","-
","-
","-
","-
"
电吸门,"-
","-
","-
","-
","-
","-
","-
","-
","-
"
电动侧滑门,"-
","-
","-
","-
","-
","-
","-
","-
","-
"
行李厢开启功能,"○自动感应
","○电动开合
○自动感应
","○电动开合
○自动感应
","○电动开合
○自动感应
","○电动开合
○自动感应
","○自动感应
","●自动感应
","●电动开合
●自动感应
","●自动感应
"
车顶行李架,"-
","-
","-
","-
","-
","-
","-
","-
","-
"
中控锁,"●遥控中控
","●遥控中控
","●遥控中控
","●遥控中控
","●遥控中控
","●遥控中控
","●遥控中控
","●遥控中控
","●遥控中控
"
智能钥匙,"●无钥匙启动
○智能进入7500元
","●无钥匙启动
○智能进入7500元
","●无钥匙启动
○智能进入7500元
","●无钥匙启动
○智能进入7500元
","●无钥匙启动
○智能进入7500元
","●无钥匙启动
○智能进入7500元
","●智能进入
●无钥匙启动
","●智能进入
●无钥匙启动
","●智能进入
●无钥匙启动
"
APP远程遥控功能,"-
","-
","-
","-
","-
","-
","-
","-
","-
"
远程启动功能,"-
","-
","-
","-
","-
","-
","-
","-
","-
"
主动闭合式进气格栅,"-
","-
","-
","-
","-
","-
","-
","-
","-
"
尾翼/扰流板,"-
","-
","-
","-
","-
","-
","-
","-
","-
"
内部配置
