奥迪A6
基本信息
车款名称,"21款 Avant 先锋派 40 TFSI 豪华动感型
","21款 Avant 先锋派 45 TFSI 臻选动感型
","21款 Allroad quattro 探索家 55 TFSI 尊享越野型
"
厂商指导价,"45.28万
","47.98万
","56.98万
"
城市参考价,"40.75万
4.53万
","43.18万
4.8万
","56.97万
0.01万
"
上市时间,"2020-09-30
","2020-09-30
","2020-09-30
"
车型级别,"中大型车
","中大型车
","中大型车
"
车身型式,"旅行车
","旅行车
","跨界车
"
动力类型,"汽油
","汽油
","汽油
"
发动机,"2.0T 直列 4缸 涡轮增压
","2.0T 直列 4缸 涡轮增压
","3.0T V型 6缸 涡轮增压
"
最大功率/最大扭矩,"140kW/320N.m
","180kW/370N.m
","250kW/500N.m
"
变速箱类型,"7挡 湿式双离合
","7挡 湿式双离合
","7挡 湿式双离合
"
工信部综合油耗[L/100km],"6.3
","6.6
","8.2
"
0-100km/h加速时间[s],"8.4
","7.0
","5.3
"
最高车速[km/h],"232
","250
","250
"
环保标准,"国六
","国六
","国六
"
保修政策,"3年或10万公里
","3年或10万公里
","3年或10万公里
"
外观颜色,"#f5f4ed朱鹭白
#dbe0da冰川白
#929196花剑银
#010b0d传奇黑
#4e5356天云灰
#ab9e8d克拉米
#180a15炫风黑
#343A55苍穹蓝
#082086纳瓦拉蓝
#D2180C探戈红
#3C3C3C维苏威灰
#182022阿瓦隆绿
#444E57鳄鱼绿
#6a917c索诺玛绿
","#f5f4ed朱鹭白
#dbe0da冰川白
#929196花剑银
#010b0d传奇黑
#4e5356天云灰
#ab9e8d克拉米
#180a15炫风黑
#343A55苍穹蓝
#082086纳瓦拉蓝
#D2180C探戈红
#3C3C3C维苏威灰
#182022阿瓦隆绿
#444E57鳄鱼绿
#9a9c9b纳多灰
#6a917c索诺玛绿
","#f5f4ed朱鹭白
#dbe0da冰川白
#929196花剑银
#010b0d传奇黑
#4e5356天云灰
#ab9e8d克拉米
#180a15炫风黑
#343A55苍穹蓝
#082086纳瓦拉蓝
#D2180C探戈红
#3C3C3C维苏威灰
#182022阿瓦隆绿
#444E57鳄鱼绿
#9a9c9b纳多灰
#6a917c索诺玛绿
"
内饰颜色,"#000000黑色
#000000,#906450黑色/棕色
#000000,#999E9D黑色/灰色
#000000,#C4B9A7黑色/米色
","#000000黑色
#000000,#906450黑色/棕色
#000000,#999E9D黑色/灰色
#000000,#C4B9A7黑色/米色
","#000000黑色
#000000,#906450黑色/棕色
#000000,#999E9D黑色/灰色
#000000,#C4B9A7黑色/米色
"
车身尺寸
长*宽*高[mm],"4951*1886*1483
","4951*1886*1483
","4951*1902*1498
"
轴距[mm],"2925
","2925
","2925
"
整备质量[kg],"1885
","1900
","2040
"
座位数[个],"5
","5
","5
"
行李厢容积[L],"565-1680
","565-1680
","565
"
油箱容积[L],"73.0
","73.0
","73.0
"
