奥迪A6L
基本信息
车款名称,"21款 40 TFSI 豪华致雅型
","21款 40 TFSI 豪华动感型
","21款 45 TFSI 臻选致雅型
","21款 45 TFSI quattro 臻选致雅型
","21款 45 TFSI quattro 尊享致雅型
","21款 45 TFSI 臻选动感型
","21款 45 TFSI 进享人生版
","21款 45 TFSI quattro 臻选动感型
","21款 45 TFSI quattro 尊享动感型
","21款 55 TFSI quattro 尊享致雅型
","21款 55 TFSI quattro 旗舰致雅型
","21款 55 TFSI quattro 尊享动感型
","21款 55 TFSI quattro 旗舰动感型
"
厂商指导价,"41.98万
","41.98万
","44.38万
","46.88万
","50.58万
","44.38万
","44.55万
","46.88万
","50.58万
","54.48万
","65.38万
","54.48万
","65.38万
"
城市参考价,"35.68万
6.3万
","35.68万
6.3万
","37.72万
6.66万
","39.85万
7.03万
","42.99万
7.59万
","37.72万
6.66万
","37.87万
6.68万
","39.85万
7.03万
","42.99万
7.59万
","46.31万
8.17万
","55.57万
9.81万
","46.31万
8.17万
","55.57万
9.81万
"
上市时间,"2020-09-29
","2020-09-29
","2020-09-29
","2020-09-29
","2020-09-29
","2020-09-29
","2021-05-21
","2020-09-29
","2020-09-29
","2020-09-29
","2020-09-29
","2020-09-29
","2020-09-29
"
车型级别,"中大型车
","中大型车
","中大型车
","中大型车
","中大型车
","中大型车
","中大型车
","中大型车
","中大型车
","中大型车
","中大型车
","中大型车
","中大型车
"
车身型式,"三厢
","三厢
","三厢
","三厢
","三厢
","三厢
","三厢
","三厢
","三厢
","三厢
","三厢
","三厢
","三厢
"
动力类型,"汽油
","汽油
","汽油
","汽油
","汽油
","汽油
","汽油
","汽油
","汽油
","汽油
","汽油
","汽油
","汽油
"
发动机,"2.0T 直列 4缸 涡轮增压
","2.0T 直列 4缸 涡轮增压
","2.0T 直列 4缸 涡轮增压
","2.0T 直列 4缸 涡轮增压
","2.0T 直列 4缸 涡轮增压
","2.0T 直列 4缸 涡轮增压
","2.0T 直列 4缸 涡轮增压
","2.0T 直列 4缸 涡轮增压
","2.0T 直列 4缸 涡轮增压
","3.0T V型 6缸 涡轮增压
","3.0T V型 6缸 涡轮增压
","3.0T V型 6缸 涡轮增压
","3.0T V型 6缸 涡轮增压
"
最大功率/最大扭矩,"140kW/320N.m
","140kW/320N.m
","165kW/350N.m
","165kW/350N.m
","165kW/350N.m
","165kW/350N.m
","165kW/350N.m
","165kW/350N.m
","165kW/350N.m
","250kW/500N.m
","250kW/500N.m
","250kW/500N.m
","250kW/500N.m
"
变速箱类型,"7挡 湿式双离合
","7挡 湿式双离合
","7挡 湿式双离合
","7挡 湿式双离合
","7挡 湿式双离合
","7挡 湿式双离合
","7挡 湿式双离合
","7挡 湿式双离合
","7挡 湿式双离合
","7挡 湿式双离合
","7挡 湿式双离合
","7挡 湿式双离合
","7挡 湿式双离合
"
工信部综合油耗[L/100km],"6.8
","6.8
","6.8
","7.5
","7.5
","6.8
","6.8
","7.5
","7.5
","8.0
","8.0
","8.0
","8.0
"
0-100km/h加速时间[s],"8.3
","8.3
","7.9
","7.5
","7.5
","7.9
","7.9
","7.5
","7.5
","5.6
","5.6
","5.6
","5.6
"
最高车速[km/h],"230
","230
","245
","240
","240
","245
","245
","240
","240
","250
","250
","250
","250
"
环保标准,"国六
","国六
","国六
","国六
","国六
","国六
","国六
","国六
","国六
","国六
","国六
","国六
","国六
"
保修政策,"3年或10万公里
","3年或10万公里
","3年或10万公里
","3年或10万公里
","3年或10万公里
","3年或10万公里
","3年或10万公里
","3年或10万公里
","3年或10万公里
","3年或10万公里
","3年或10万公里
","3年或10万公里
","3年或10万公里
"
外观颜色,"#f7f6f2朱鹭白
#b5ab95白金色
#2e4aba探索蓝
#000000传奇黑
#561213日珥红
#2f3032天云灰
#000000星际黑
","#f7f6f2朱鹭白
#b5ab95白金色
#2e4aba探索蓝
#000000传奇黑
#561213日珥红
#2f3032天云灰
#000000星际黑
","#f7f6f2朱鹭白
#b5ab95白金色
#2e4aba探索蓝
#000000传奇黑
#561213日珥红
#2f3032天云灰
#000000星际黑
","#f7f6f2朱鹭白
#b5ab95白金色
#2e4aba探索蓝
#000000传奇黑
#561213日珥红
#2f3032天云灰
#000000星际黑
","#f7f6f2朱鹭白
#b5ab95白金色
#2e4aba探索蓝
#000000传奇黑
#561213日珥红
#2f3032天云灰
#000000星际黑
","#f7f6f2朱鹭白
#b5ab95白金色
#2e4aba探索蓝
#000000传奇黑
#561213日珥红
#2f3032天云灰
#000000星际黑
","#2f3032天云灰
","#f7f6f2朱鹭白
#b5ab95白金色
#2e4aba探索蓝
#000000传奇黑
#561213日珥红
#2f3032天云灰
#000000星际黑
","#f7f6f2朱鹭白
#b5ab95白金色
#2e4aba探索蓝
#000000传奇黑
#561213日珥红
#2f3032天云灰
#000000星际黑
","#f7f6f2朱鹭白
#b5ab95白金色
#2e4aba探索蓝
#000000传奇黑
#561213日珥红
#2f3032天云灰
#000000星际黑
","#f7f6f2朱鹭白
#b5ab95白金色
#2e4aba探索蓝
#000000传奇黑
#561213日珥红
#2f3032天云灰
#000000星际黑
","#f7f6f2朱鹭白
#b5ab95白金色
#2e4aba探索蓝
#000000传奇黑
#561213日珥红
#2f3032天云灰
#000000星际黑
","#f7f6f2朱鹭白
#b5ab95白金色
#2e4aba探索蓝
#000000传奇黑
#561213日珥红
#2f3032天云灰
#000000星际黑
"
