奥迪A7
基本信息
车款名称,"21款 40 TFSI 豪华型
","21款 45 TFSI 臻选型
","21款 45 TFSI 专享型
"
厂商指导价,"57.38万
","61.28万
","70.48万
"
城市参考价,"53.36万
4.02万
","56.99万
4.29万
","65.55万
4.93万
"
上市时间,"2020-09-30
","2020-09-30
","2020-09-30
"
车型级别,"中大型车
","中大型车
","中大型车
"
车身型式,"掀背车
","掀背车
","掀背车
"
动力类型,"汽油
","汽油
","汽油
"
发动机,"2.0T 直列 4缸 涡轮增压
","2.0T 直列 4缸 涡轮增压
","2.0T 直列 4缸 涡轮增压
"
最大功率/最大扭矩,"140kW/320N.m
","180kW/370N.m
","180kW/370N.m
"
变速箱类型,"7挡 湿式双离合
","7挡 湿式双离合
","7挡 湿式双离合
"
工信部综合油耗[L/100km],"6.3
","6.5
","6.5
"
0-100km/h加速时间[s],"8.3
","7.0
","7.0
"
最高车速[km/h],"237
","250
","250
"
环保标准,"国六
","国六
","国六
"
保修政策,"3年或10万公里
","3年或10万公里
","3年或10万公里
"
外观颜色,"#000000旋风黑
#E9E9E9朱鹭白
#434545天云灰
#999080克拉米
#002782纳瓦拉蓝
#a7141a探戈红
#152b39苍穹蓝
#434545维苏威灰
#5a386d威尼斯紫
#C5C7C3花剑银
#fffcff冰川白
#1a181a传奇黑
#385863阿瓦隆绿
#000001米索斯黑
#303030陨石灰
#6c6b6e纳多灰
","#000000旋风黑
#E9E9E9朱鹭白
#434545天云灰
#999080克拉米
#002782纳瓦拉蓝
#a7141a探戈红
#152b39苍穹蓝
#434545维苏威灰
#5a386d威尼斯紫
#C5C7C3花剑银
#fffcff冰川白
#1a181a传奇黑
#385863阿瓦隆绿
#000001米索斯黑
#303030陨石灰
#6c6b6e纳多灰
","#000000旋风黑
#E9E9E9朱鹭白
#434545天云灰
#999080克拉米
#002782纳瓦拉蓝
#a7141a探戈红
#152b39苍穹蓝
#434545维苏威灰
#C5C7C3花剑银
#fffcff冰川白
#1a181a传奇黑
#385863阿瓦隆绿
#000001米索斯黑
#303030陨石灰
#6c6b6e纳多灰
"
内饰颜色,"#000000黑色
#000000,#452e16黑色/棕色
#000000,#B19E78黑色/米色
#000000,#ffffff,#296392黑色/白色/海洋蓝
","#000000黑色
#000000,#452e16黑色/棕色
#000000,#B19E78黑色/米色
#000000,#ffffff,#296392黑色/白色/海洋蓝
","#000000黑色
#000000,#452e16黑色/棕色
#000000,#B19E78黑色/米色
#000000,#ffffff,#296392黑色/白色/海洋蓝
"
车身尺寸
长*宽*高[mm],"4976*1908*1405
","4976*1908*1405
","4976*1908*1405
"
轴距[mm],"2928
","2928
","2928
"
整备质量[kg],"1895
","1895
","1895
"
座位数[个],"4
","4
","4
"
行李厢容积[L],"535
","535
","535
"
油箱容积[L],"73.0
","73.0
","73.0
"
前轮胎规格,"245/45 R19
","245/45 R19
","245/45 R19
"
后轮胎规格,"245/45 R19
","245/45 R19
","245/45 R19
"
备胎,"非全尺寸
","非全尺寸
","非全尺寸
"
动力系统
发动机型号,"DLH
","DLH
","DLH
"
排量[mL],"1984
","1984
","1984
"
进气形式,"涡轮增压
","涡轮增压
","涡轮增压
"
缸体排列形式,"直列
","直列
","直列
"
气缸数,"4
","4
","4
"
最大功率[kW],"140
","180
","180
"
最大马力[Ps],"190
","245
","245
"
最大扭矩[N·m],"320
","370
","370
"
燃油标号,"95号
","95号
","95号
"
供油方式,"混合喷射
","混合喷射
","混合喷射
"
变速箱类型,"湿式双离合
","湿式双离合
","湿式双离合
"
挡位个数,"7
","7
","7
"
底盘制动
驱动形式,"前轮驱动
","前轮驱动
","前轮驱动
"
前悬架类型,"多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
"
后悬架类型,"多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
"
助力类型,"电动助力
","电动助力
","电动助力
"
可调悬架功能,"-
","-
","-
"
可调悬架种类,"-
","-
","-
"
前轮制动类型,"通风盘
","通风盘
","通风盘
"
后轮制动类型,"通风盘
","通风盘
","通风盘
"
驻车制动类型,"电子驻车
","电子驻车
","电子驻车
"
车体结构,"承载式
","承载式
","承载式
"
限滑差速器/差速锁,"-
","-
","-
"
安全配置
防抱死制动(ABS),"●
","●
","●
"
制动力分配(EBD/CBC等),"●
","●
","●
"
制动辅助(BA/EBA等),"●
","●
","●
"
牵引力控制(ARS/TCS等),"●
","●
","●
"
车身稳定控制(ESP/DSC等),"●
","●
","●
"
主驾驶安全气囊,"●
","●
","●
"
副驾驶安全气囊,"●
","●
","●
"
