奥迪A7L
基本信息
车款名称,"21款 55 TFSI quattro edition one
"
车型级别,"中大型车
"
城市参考价,"万

"
车身型式,"三厢
"
动力类型,"汽油
"
发动机,"3.0T V型 6缸 涡轮增压
"
最大功率/最大扭矩,"250kW/500N.m
"
变速箱类型,"7挡 湿式双离合
"
0-100km/h加速时间[s],"5.5
"
环保标准,"国六
"
保修政策,"3年或10万公里
"
外观颜色,"#32657d青山黛
#bfc0c4和风银
#bfc0c8珠光银
#000000旷野黑
#ffffff皓月白
#c32146赤霞红
#1d2d68星河蓝
"
内饰颜色,"#000000,#ad957d黑色/干邑色
"
车身尺寸
长*宽*高[mm],"5076*1908*1429
"
轴距[mm],"3026
"
座位数[个],"5
"
前轮胎规格,"255/35 R21
"
后轮胎规格,"255/35 R21
"
备胎,"非全尺寸
"
最小转弯直径[m],"11.0
"
最小离地间隙[mm],"111
"
动力系统
排量[mL],"2995
"
进气形式,"涡轮增压
"
缸体排列形式,"V型
"
气缸数,"6
"
最大功率[kW],"250
"
最大马力[Ps],"340
"
最大功率转速[rpm],"5000-6400
"
最大扭矩[N·m],"500
"
最大扭矩转速[rpm],"1370-4500
"
燃油标号,"95号
"
供油方式,"直喷
"
变速箱类型,"湿式双离合
"
挡位个数,"7
"
底盘制动
驱动形式,"适时四驱
"
前悬架类型,"多连杆式独立悬架
"
后悬架类型,"多连杆式独立悬架
"
助力类型,"电动助力
"
可调悬架功能,"-
"
可调悬架种类,"-
"
前轮制动类型,"通风盘
"
后轮制动类型,"通风盘
"
驻车制动类型,"电子驻车
"
车体结构,"承载式
"
限滑差速器/差速锁,"-
"
安全配置
防抱死制动(ABS),"●
"
制动力分配(EBD/CBC等),"●
"
制动辅助(BA/EBA等),"●
"
牵引力控制(ARS/TCS等),"●
"
车身稳定控制(ESP/DSC等),"●
"
主驾驶安全气囊,"●
"
副驾驶安全气囊,"●
"
前侧气囊,"●
"
后侧气囊,"●
"
侧安全气帘,"●
"
膝部气囊,"-
"
安全带气囊,"-
"
后排中央气囊,"-
"
被动行人保护,"-
"
胎压监测,"●
"
零胎压续行轮胎,"-
"
儿童座椅接口(ISO FIX/LATCH),"●
"
驾驶辅助
