奥迪A8L
基本信息
车款名称,"21款 50 TFSI quattro 舒适型
","21款 50 TFSI quattro 豪华型
","21款 55 TFSI quattro 豪华型
","21款 55 TFSI quattro 尊贵型
","21款 60 TFSI quattro 尊贵型
"
厂商指导价,"84.28万
","98.88万
","106.68万
","119.88万
","194.28万
"
城市参考价,"69.95万
14.33万
","82.07万
16.81万
","88.54万
18.14万
","100.70万
19.18万
","163.19万
31.09万
"
上市时间,"2020-09-19
","2020-09-19
","2020-09-19
","2020-09-19
","2021-03-02
"
车型级别,"豪华车
","豪华车
","豪华车
","豪华车
","豪华车
"
车身型式,"三厢
","三厢
","三厢
","三厢
","三厢
"
动力类型,"汽油
","汽油
","汽油
","汽油
","汽油
"
发动机,"3.0T V型 6缸 涡轮增压
","3.0T V型 6缸 涡轮增压
","3.0T V型 6缸 涡轮增压
","3.0T V型 6缸 涡轮增压
","4.0T V型 8缸 涡轮增压
"
最大功率/最大扭矩,"210kW/450N.m
","210kW/450N.m
","250kW/500N.m
","250kW/500N.m
","338kW/660N.m
"
变速箱类型,"8挡 手自一体
","8挡 手自一体
","8挡 手自一体
","8挡 手自一体
","8挡 手自一体
"
工信部综合油耗[L/100km],"8.6
","8.6
","8.6
","8.6
","11.1
"
0-100km/h加速时间[s],"6.6
","6.6
","5.7
","5.7
","4.4
"
最高车速[km/h],"250
","250
","250
","250
","250
"
环保标准,"国六
","国六
","国六
","国六
","国六
"
保修政策,"3年或10万公里
","3年或10万公里
","3年或10万公里
","3年或10万公里
","3年或10万公里
"
外观颜色,"#bfc0c4花剑银
#ffffff冰川白
#828888季风灰
#050d11传奇黑
#213647月光蓝
#562833日珥红
#e2c29e天穹米
#303030陨石灰
#293036星云灰
#000000炫目黑
#002b54纳瓦拉蓝
","#bfc0c4花剑银
#ffffff冰川白
#828888季风灰
#050d11传奇黑
#213647月光蓝
#562833日珥红
#e2c29e天穹米
#303030陨石灰
#293036星云灰
#000000炫目黑
#002b54纳瓦拉蓝
","#bfc0c4花剑银
#ffffff冰川白
#828888季风灰
#050d11传奇黑
#213647月光蓝
#562833日珥红
#e2c29e天穹米
#303030陨石灰
#293036星云灰
#000000炫目黑
#002b54纳瓦拉蓝
","#bfc0c4花剑银
#ffffff冰川白
#828888季风灰
#050d11传奇黑
#213647月光蓝
#562833日珥红
#e2c29e天穹米
#303030陨石灰
#293036星云灰
#000000炫目黑
#002b54纳瓦拉蓝
","#bfc0c4花剑银
#ffffff冰川白
#828888季风灰
#050d11传奇黑
#213647月光蓝
#562833日珥红
#e2c29e天穹米
#303030陨石灰
#293036星云灰
#000000炫目黑
#002b54纳瓦拉蓝
"
内饰颜色,"#000000,#494042黑色/玛瑙棕色
#000000,#5a2c2e黑色/梅尔诺红色
#000000,#987d65黑色/赛加羚米色
#000000,#b1ab9f黑色/珍珠米色
#000000黑色
#000000,#936f50黑色/肉豆蔻棕色
","#000000,#494042黑色/玛瑙棕色
#000000,#5a2c2e黑色/梅尔诺红色
#000000,#987d65黑色/赛加羚米色
#000000,#b1ab9f黑色/珍珠米色
#000000黑色
#000000,#936f50黑色/肉豆蔻棕色
","#000000,#494042黑色/玛瑙棕色
#000000,#5a2c2e黑色/梅尔诺红色
#000000,#987d65黑色/赛加羚米色
#000000,#b1ab9f黑色/珍珠米色
#000000黑色
#000000,#936f50黑色/肉豆蔻棕色
","#000000,#494042黑色/玛瑙棕色
#000000,#5a2c2e黑色/梅尔诺红色
#000000,#987d65黑色/赛加羚米色
#000000,#b1ab9f黑色/珍珠米色
#000000黑色
#000000,#936f50黑色/肉豆蔻棕色
","#000000,#494042黑色/玛瑙棕色
#000000,#5a2c2e黑色/梅尔诺红色
#000000,#987d65黑色/赛加羚米色
#000000,#b1ab9f黑色/珍珠米色
#000000黑色
#000000,#936f50黑色/肉豆蔻棕色
"
车身尺寸
长*宽*高[mm],"5302*1945*1483
","5302*1945*1483
","5302*1945*1483
","5302*1945*1483
","5302*1945*1483
"
轴距[mm],"3128
","3128
","3128
","3128
","3128
"
座位数[个],"5
","5
","5
","4
","4
"
行李厢容积[L],"505
","505
","505
","505
","505
"
油箱容积[L],"82.0
","82.0
","82.0
","82.0
","82.0
"
前轮胎规格,"255/45 R19
","265/40 R20
","265/40 R20
","265/40 R20
","265/40 R20
"
后轮胎规格,"255/45 R19
","265/40 R20
","265/40 R20
","265/40 R20
","265/40 R20
"
备胎,"非全尺寸
","非全尺寸
","非全尺寸
","非全尺寸
","非全尺寸
"
最小转弯直径[m],"12.9
","12.9
","12.9
","12.9
","12.9
"
最小离地间隙[mm],"123
","123
","123
","123
","123
"
动力系统
排量[mL],"2995
","2995
","2995
","2995
","3996
"
进气形式,"涡轮增压
","涡轮增压
","涡轮增压
","涡轮增压
","涡轮增压
"
缸体排列形式,"V型
","V型
","V型
","V型
","V型
"
气缸数,"6
","6
","6
","6
","8
"
最大功率[kW],"210
","210
","250
","250
","338
"
最大马力[Ps],"286
","286
","340
","340
","460
"
最大功率转速[rpm],"4500-6400
","4500-6400
","5000-6400
","5000-6400
","5500
"
最大扭矩[N·m],"450
","450
","500
","500
","660
"
最大扭矩转速[rpm],"1340-4430
","1340-4430
","1370-4500
","1370-4500
","1850-4500
"
燃油标号,"95号
","95号
","95号
","95号
","95号
"
供油方式,"直喷
","直喷
","直喷
","直喷
","直喷
"
变速箱类型,"手自一体
","手自一体
","手自一体
","手自一体
","手自一体
"
挡位个数,"8
","8
","8
","8
","8
"
底盘制动
驱动形式,"全时四驱
","全时四驱
","全时四驱
","全时四驱
","全时四驱
"
前悬架类型,"多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
"
后悬架类型,"多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
"
助力类型,"电动助力
","电动助力
","电动助力
","电动助力
","电动助力
"
