奥迪Q2L 纯电动
基本信息
车款名称,"20款 纯电智酷型
","20款 纯电智享型
"
厂商指导价,"22.68万
","23.73万
"
城市参考价,"15.42万
7.26万
","16.14万
7.59万
"
补贴后售价,"22.68万
","23.73万
"
上市时间,"2019-11-18
","2019-11-18
"
车型级别,"小型SUV
","小型SUV
"
车身型式,"SUV
","SUV
"
动力类型,"纯电
","纯电
"
电动机总功率[kW],"100
","100
"
电动机总扭矩[N·m],"290
","290
"
变速箱类型,"1挡 单速变速箱
","1挡 单速变速箱
"
NEDC最大续航里程[km],"265
","265
"
最高车速[km/h],"150
","150
"
保修政策,"3年或10万公里
","3年或10万公里
"
电池保修政策,"8年 12万公里
","8年 12万公里
"
外观颜色,"#0146c5鹦鹉蓝
#bf040f探戈红
#c0b49e钛金米
#d7d7d7冰川白
#060002锰石黑
#2e3432纳诺灰
#b6bab9花剑银
#2f2b60极光紫
#af250b珊瑚橙
#7fc4e5凯拉什蓝
","#0146c5鹦鹉蓝
#bf040f探戈红
#c0b49e钛金米
#d7d7d7冰川白
#060002锰石黑
#2e3432纳诺灰
#b6bab9花剑银
#2f2b60极光紫
#af250b珊瑚橙
#7fc4e5凯拉什蓝
"
内饰颜色,"#000000黑色
#000000,#a00a0a黑色/红色
#000000,#949494黑色/汽油灰
#000000,#af250b黑色/珊瑚橙
#000000,#513c39黑色/石榴红
#000000,#bcbcbc黑色/岩石灰
","#000000黑色
#000000,#a00a0a黑色/红色
#000000,#949494黑色/汽油灰
#000000,#af250b黑色/珊瑚橙
#000000,#513c39黑色/石榴红
#000000,#bcbcbc黑色/岩石灰
"
车身尺寸
长*宽*高[mm],"4237*1785*1548
","4237*1785*1548
"
轴距[mm],"2628
","2628
"
整备质量[kg],"1610
","1610
"
座位数[个],"5
","5
"
行李厢容积[L],"347
","347
"
前轮胎规格,"215/55 R17
","215/55 R17
"
后轮胎规格,"215/55 R17
","215/55 R17
"
备胎,"无备胎
","无备胎
"
最小转弯直径[m],"9.0
","9.0
"
动力系统
变速箱类型,"单速变速箱
","单速变速箱
"
挡位个数,"1
","1
"
前电动机最大功率[kW],"100
","100
"
前电动机最大扭矩[N·m],"290
","290
"
电池预加热,"-
","-
"
电池容量[kWh],"39.7
","39.7
"
电池充电时间快充[h],"0.6
","0.6
"
电池充电时间慢充[h],"17.0
","17.0
"
耗电量[kWh/100km],"13.9
","13.9
"
底盘制动
驱动形式,"前轮驱动
","前轮驱动
"
前悬架类型,"麦弗逊式独立悬架
","麦弗逊式独立悬架
"
后悬架类型,"多连杆式独立悬架
","多连杆式独立悬架
"
助力类型,"电动助力
","电动助力
"
可调悬架功能,"-
","-
"
可调悬架种类,"-
","-
"
前轮制动类型,"通风盘
","通风盘
"
后轮制动类型,"盘式
","盘式
"
驻车制动类型,"电子驻车
","电子驻车
"
车体结构,"承载式
","承载式
"
限滑差速器/差速锁,"-
","-
"
安全配置
防抱死制动(ABS),"●
","●
"
制动力分配(EBD/CBC等),"●
","●
"
制动辅助(BA/EBA等),"●
","●
"
牵引力控制(ARS/TCS等),"●
","●
"
车身稳定控制(ESP/DSC等),"●
","●
"
主驾驶安全气囊,"●
","●
"
副驾驶安全气囊,"●
","●
"
前侧气囊,"●
","●
"
后侧气囊,"-
","-
"
侧安全气帘,"●
","●
"
膝部气囊,"-
","-
"
安全带气囊,"-
","-
"
后排中央气囊,"-
","-
"
被动行人保护,"-
","-
"
胎压监测,"●
","●
"
零胎压续行轮胎,"-
","-
"
儿童座椅接口(ISO FIX/LATCH),"●
","●
"
驾驶辅助
前倒车雷达,"●
","●
"
后倒车雷达,"●
","●
"
倒车车侧预警系统,"-
","-
"
驻车影像系统,"○后方影像2500元
","●后方影像
"
巡航系统,"○定速巡航1000元
○ACC自适应巡航9500元
","○定速巡航1000元
○ACC自适应巡航9500元
"
驾驶模式选择,"●
","●
"
车道保持,"○
","○
"
车道偏离预警,"○
","○
"
道路交通标识识别,"-
","-
"
并线辅助,"○选配5000元
","○选配5000元
"
碰撞报警/主动刹车,"●
","●
"
疲劳提醒,"-
","-
"
自动泊车,"○选配2500元
","○选配2500元
"
遥控泊车,"-
","-
"
自动驾驶辅助,"-
","-
"
自动驻车,"●
","●
"
上坡辅助,"●
","●
"
陡坡缓降,"-
","-
"
夜视系统,"-
","-
"
可变齿比转向,"-
","-
"
整体主动转向系统,"-
","-
"
外部配置
近光灯光源,"●LED
","●LED
"
远光灯光源,"●LED
","●LED
"
灯光特色功能,"-
","-
"
LED日间行车灯,"●
","●
"
大灯功能,"●自动开闭
○自动远近光
","●自动开闭
○自动远近光
"
前雾灯,"-
","-
"
大灯调节/清洗,"●高度调节
","●高度调节
"
天窗类型,"○单天窗8000元
","●单天窗
"
运动外观套件,"-
","-
"
轮圈材质,"铝合金轮圈
","铝合金轮圈
"
前电动车窗,"●
","●
"
后电动车窗,"●
","●
"
车窗一键升降,"●全车
","●全车
"
车窗防夹手功能,"●
","●
"
多层隔音玻璃,"-
","-
"
外后视镜电动调节,"●电动调节
●后视镜加热
○电动折叠1000元
","●电动调节
●后视镜加热
○电动折叠1000元
"
外后视镜自动防眩目,"○选配2000元
","○选配2000元
"
内后视镜自动防眩目,"○选配1500元
","○选配1500元
"
流媒体内后视镜,"-
","-
"
流媒体外后视镜,"-
","-
"
隔热/隐私玻璃,"○选配2000元
","○选配2000元
"
后排侧遮阳帘,"-
","-
"
后遮阳帘,"-
","-
"
前雨刷器,"●感应雨刷
","●感应雨刷
"
后雨刷器,"●后雨刷
","●后雨刷
"
可加热喷水嘴,"-
","-
"
电吸门,"-
","-
"
电动侧滑门,"-
","-
"
行李厢开启功能,"○电动开合3000元
","○电动开合3000元
"
车顶行李架,"-
","-
"
中控锁,"●遥控中控
","●遥控中控
"
智能钥匙,"●智能进入
●无钥匙启动
","●智能进入
●无钥匙启动
"
APP远程遥控功能,"-
","-
"
远程启动功能,"-
","-
"
主动闭合式进气格栅,"-
","-
"
尾翼/扰流板,"-
","-
"
内部配置
内饰材质,"●塑料
","●塑料
"
车内氛围灯,"●
","●
"
遮阳板化妆镜,"●
","●
"
方向盘材质,"●皮质
","●皮质
"
多功能方向盘,"●
","●
"
方向盘调节,"●上下调节
●前后调节
","●上下调节
●前后调节
"
方向盘加热,"-
","-
"
方向盘换挡,"-
","-
"
前排空调,"●自动空调
","●自动空调
"
后排空调,"-
","-
"
车载空气净化器,"-
","-
"
车内PM2.5过滤装置,"-
","-
"
负离子发生器,"-
","-
"
香氛系统,"-
","-
"
车载冰箱,"-
","-
"
主动降噪,"-
","-
"
座椅配置
座椅材质,"●织物皮质混合
○皮质
","●织物皮质混合
○皮质
"
运动风格座椅,"-
","-
"
主座椅电动调节,"○电动调节
","○电动调节
"
副座椅电动调节,"○电动调节
","○电动调节
"
主座椅调节方式,"●靠背调节
●高低调节
●前后调节
○腰部调节
","●靠背调节
●高低调节
●前后调节
○腰部调节
"
副座椅调节方式,"●靠背调节
●高低调节
●前后调节
○腰部调节
","●靠背调节
●高低调节
●前后调节
○腰部调节
"
第二排座椅电动调节,"-
","-
"
第二排座椅调节方式,"-
","-
"
前排座椅功能,"○加热2000元
","○加热2000元
"
后排座椅功能,"-
","-
"
前中央扶手,"●
","●
"
后中央扶手,"●
","●
"
第三排座椅,"-
","-
"
座椅布局,"-
","-
"
后排座椅放倒方式,"●比例放倒
","●比例放倒
"
后排杯架,"●
","●
"
后排折叠桌板,"-
","-
"
信息娱乐
中控彩色液晶屏,"●普通液晶屏
","●普通液晶屏
"
液晶屏尺寸,"●8.3
","●8.3
"
全液晶仪表盘,"●
","●
"
行车电脑显示屏,"●
","●
"
HUD平视显示,"-
","-
"
GPS导航系统,"●GPS导航
●实时路况
","●GPS导航
●实时路况
"
紧急道路救援,"-
","-
"
蓝牙/WiFi连接,"●蓝牙
","●蓝牙
"
车载APP应用,"-
","-
"
4G网络,"●
","●
"
车载WiFi热点,"-
","-
"
OTA升级,"-
","-
"
语音控制,"●语音控制
","●语音控制
"
手机互联,"●CarPlay
","●CarPlay
"
手机无线充电,"-
","-
"
手势控制系统,"-
","-
"
CD/DVD,"●单碟cd
","●单碟cd
"
外接音源接口,"●AUX
●USB
●SD卡槽
","●AUX
●USB
●SD卡槽
"
车载行车记录仪,"-
","-
"
车载电视,"-
","-
"
后排控制多媒体,"-
","-
"
扬声器数量[个],"●5-6
○7-83000元
○12个以上7000元
","●5-6
○7-83000元
○12个以上7000元
"
后排液晶屏,"-
","-
"
音响品牌,"○B＆O7000元
","○B＆O7000元
"
车载220V电源,"-
","-
"
