奥迪Q2L
基本信息
车款名称,"21款 35 TFSI 时尚致雅型
","21款 35 TFSI 豪华致雅型
","21款 35 TFSI 进取动感型
","21款 35 TFSI 时尚动感型
","21款 35 TFSI 豪华动感型
"
厂商指导价,"23.66万
","26.50万
","21.88万
","23.84万
","26.50万
"
城市参考价,"17.98万
5.68万
","20.14万
6.36万
","16.41万
5.47万
","18.12万
5.72万
","20.14万
6.36万
"
上市时间,"2020-11-30
","2020-11-30
","2020-11-30
","2020-11-30
","2020-11-30
"
车型级别,"小型SUV
","小型SUV
","小型SUV
","小型SUV
","小型SUV
"
车身型式,"SUV
","SUV
","SUV
","SUV
","SUV
"
动力类型,"汽油
","汽油
","汽油
","汽油
","汽油
"
发动机,"1.4T 直列 4缸 涡轮增压
","1.4T 直列 4缸 涡轮增压
","1.4T 直列 4缸 涡轮增压
","1.4T 直列 4缸 涡轮增压
","1.4T 直列 4缸 涡轮增压
"
最大功率/最大扭矩,"110kW/250N.m
","110kW/250N.m
","110kW/250N.m
","110kW/250N.m
","110kW/250N.m
"
变速箱类型,"7挡 干式双离合
","7挡 干式双离合
","7挡 干式双离合
","7挡 干式双离合
","7挡 干式双离合
"
工信部综合油耗[L/100km],"6.1
","6.1
","6.1
","6.1
","6.1
"
0-100km/h加速时间[s],"8.7
","8.7
","8.7
","8.7
","8.7
"
最高车速[km/h],"200
","200
","200
","200
","200
"
环保标准,"国六
","国六
","国六
","国六
","国六
"
保修政策,"3年或10万公里
","3年或10万公里
","3年或10万公里
","3年或10万公里
","3年或10万公里
"
外观颜色,"#000000锰石黑
#c13626珊瑚橙
#ffffff冰川白
#bc0a16探戈红
#106aae鹦鹉蓝
#53544f纳诺灰
#101652极光紫
#c6bca3钛金米
#286ea0凯拉什蓝
","#000000锰石黑
#c13626珊瑚橙
#ffffff冰川白
#bc0a16探戈红
#106aae鹦鹉蓝
#53544f纳诺灰
#101652极光紫
#c6bca3钛金米
#286ea0凯拉什蓝
","#000000锰石黑
#c13626珊瑚橙
#ffffff冰川白
#bc0a16探戈红
#106aae鹦鹉蓝
#53544f纳诺灰
#101652极光紫
#c6bca3钛金米
#286ea0凯拉什蓝
","#000000锰石黑
#c13626珊瑚橙
#ffffff冰川白
#bc0a16探戈红
#106aae鹦鹉蓝
#53544f纳诺灰
#101652极光紫
#c6bca3钛金米
#286ea0凯拉什蓝
","#000000锰石黑
#c13626珊瑚橙
#ffffff冰川白
#bc0a16探戈红
#106aae鹦鹉蓝
#53544f纳诺灰
#101652极光紫
#c6bca3钛金米
#286ea0凯拉什蓝
"
内饰颜色,"#000000黑色
","#000000黑色
","#000000黑色
","#000000黑色
#000000,#B74B51黑色/红色
","#000000黑色
#000000,#B74B51黑色/红色
"
车身尺寸
长*宽*高[mm],"4229*1785*1548
","4229*1785*1548
","4236*1785*1548
","4236*1785*1548
","4236*1785*1548
"
轴距[mm],"2628
","2628
","2628
","2628
","2628
"
整备质量[kg],"1405
","1405
","1405
","1405
","1405
"
前轮距[mm],"1543
","1543
","1543
","1543
","1543
"
后轮距[mm],"1546
","1546
","1546
","1546
","1546
"
座位数[个],"5
","5
","5
","5
","5
"
行李厢容积[L],"347
","347
","347
","347
","347
"
油箱容积[L],"50.0
","50.0
","50.0
","50.0
","50.0
"
前轮胎规格,"215/50 R18
","215/50 R18
","215/50 R18
","215/50 R18
","215/50 R18
"
后轮胎规格,"215/50 R18
","215/50 R18
","215/50 R18
","215/50 R18
","215/50 R18
"
备胎,"非全尺寸
","非全尺寸
","非全尺寸
","非全尺寸
","非全尺寸
"
最小转弯直径[m],"11.3
","11.3
","11.3
","11.3
","11.3
"
最小离地间隙[mm],"142
","142
","142
","142
","142
"
动力系统
发动机型号,"DJS
","DJS
","DJS
","DJS
","DJS
"
排量[mL],"1395
","1395
","1395
","1395
","1395
"
进气形式,"涡轮增压
","涡轮增压
","涡轮增压
","涡轮增压
","涡轮增压
"
缸体排列形式,"直列
","直列
","直列
","直列
","直列
"
气缸数,"4
","4
","4
","4
","4
"
最大功率[kW],"110
","110
","110
","110
","110
"
最大马力[Ps],"150
","150
","150
","150
","150
"
最大功率转速[rpm],"5000-6000
","5000-6000
","5000-6000
","5000-6000
","5000-6000
"
最大扭矩[N·m],"250
","250
","250
","250
","250
"
最大扭矩转速[rpm],"1750-3000
","1750-3000
","1750-3000
","1750-3000
","1750-3000
"
燃油标号,"95号
","95号
","95号
","95号
","95号
"
供油方式,"直喷
","直喷
","直喷
","直喷
","直喷
"
变速箱类型,"干式双离合
","干式双离合
","干式双离合
","干式双离合
","干式双离合
"
挡位个数,"7
","7
","7
","7
","7
"
底盘制动
驱动形式,"前轮驱动
","前轮驱动
","前轮驱动
","前轮驱动
","前轮驱动
"
前悬架类型,"麦弗逊式独立悬架
","麦弗逊式独立悬架
","麦弗逊式独立悬架
","麦弗逊式独立悬架
","麦弗逊式独立悬架
"
后悬架类型,"多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
"
助力类型,"电动助力
","电动助力
","电动助力
","电动助力
","电动助力
"
