奥迪Q3 Sportback
基本信息
车款名称,"21款 40TFSI 进享人生版
","20款 35TFSI 进取型
","20款 40TFSI 时尚型
","20款 45TFSI quattro 时尚型
","20款 45TFSI quattro 豪华型
"
厂商指导价,"30.98万
","28.73万
","30.73万
","33.43万
","36.18万
"
城市参考价,"26.33万
4.65万
","24.42万
4.31万
","26.12万
4.61万
","28.42万
5.01万
","29.09万
5.43万
"
上市时间,"2021-05-21
","2020-05-29
","2020-05-29
","2020-05-29
","2020-05-29
"
车型级别,"紧凑SUV
","紧凑SUV
","紧凑SUV
","紧凑SUV
","紧凑SUV
"
车身型式,"跨界车
","跨界车
","跨界车
","跨界车
","跨界车
"
动力类型,"汽油
","汽油
","汽油
","汽油
","汽油
"
发动机,"2.0T 直列 4缸 涡轮增压
","1.4T 直列 4缸 涡轮增压
","2.0T 直列 4缸 涡轮增压
","2.0T 直列 4缸 涡轮增压
","2.0T 直列 4缸 涡轮增压
"
最大功率/最大扭矩,"137kW/320N.m
","110kW/250N.m
","137kW/320N.m
","162kW/350N.m
","162kW/350N.m
"
变速箱类型,"7挡 湿式双离合
","7挡 湿式双离合
","7挡 湿式双离合
","7挡 湿式双离合
","7挡 湿式双离合
"
工信部综合油耗[L/100km],"7.0
","6.7
","7.0
","7.7
","7.7
"
0-100km/h加速时间[s],"8.8
","9.8
","8.8
","7.6
","7.6
"
最高车速[km/h],"200
","200
","200
","200
","200
"
环保标准,"国六
","国六
","国六
","国六
","国六
"
保修政策,"3年或10万公里
","3年或10万公里
","3年或10万公里
","3年或10万公里
","3年或10万公里
"
外观颜色,"#5c6566天云灰
","#ffffff冰川白
#000000传奇黑
#798b7a鳄鱼绿
#5f3922古铜棕
#235169环礁蓝
#454031可汗绿
#761821探戈红
#5c6566天云灰
#164579雪邦蓝
","#ffffff冰川白
#000000传奇黑
#798b7a鳄鱼绿
#5f3922古铜棕
#235169环礁蓝
#454031可汗绿
#761821探戈红
#5c6566天云灰
#164579雪邦蓝
","#ffffff冰川白
#000000传奇黑
#798b7a鳄鱼绿
#5f3922古铜棕
#235169环礁蓝
#454031可汗绿
#761821探戈红
#5c6566天云灰
#164579雪邦蓝
","#ffffff冰川白
#000000传奇黑
#798b7a鳄鱼绿
#5f3922古铜棕
#235169环礁蓝
#454031可汗绿
#761821探戈红
#5c6566天云灰
#164579雪邦蓝
"
内饰颜色,"#000000,#D03C38黑色/红色
","#000000黑色
#000000,#babfba黑色/月光银
","#000000黑色
#000000,#babfba黑色/月光银
","#000000黑色
#000000,#babfba黑色/月光银
","#000000黑色
#000000,#babfba黑色/月光银
"
车身尺寸
长*宽*高[mm],"4518*1843*1573
","4518*1843*1573
","4518*1843*1573
","4518*1843*1573
","4518*1843*1573
"
轴距[mm],"2680
","2680
","2680
","2680
","2680
"
整备质量[kg],"1635
","1575
","1635
","1725
","1725
"
座位数[个],"5
","5
","5
","5
","5
"
行李厢容积[L],"450-1400
","450-1400
","450-1400
","450-1400
","450-1400
"
油箱容积[L],"60.0
","60.0
","60.0
","62.5
","62.5
"
前轮胎规格,"235/50 R19
","235/55 R18
","235/50 R19
","235/50 R19
","235/50 R19
"
后轮胎规格,"235/50 R19
","235/55 R18
","235/50 R19
","235/50 R19
","235/50 R19
"
备胎,"非全尺寸
","非全尺寸
","非全尺寸
","非全尺寸
","非全尺寸
"
最小转弯直径[m],"11.6
","11.6
","11.6
","11.6
","11.6
"
最小离地间隙[mm],"159
","159
","159
","159
","159
"
动力系统
发动机型号,"EA888-DPL
","EA211-DJS
","EA888-DPL
","EA888-DKX
","EA888-DKX
"
排量[mL],"1984
","1395
","1984
","1984
","1984
"
进气形式,"涡轮增压
","涡轮增压
","涡轮增压
","涡轮增压
","涡轮增压
"
缸体排列形式,"直列
","直列
","直列
","直列
","直列
"
气缸数,"4
","4
","4
","4
","4
"
最大功率[kW],"137
","110
","137
","162
","162
"
最大马力[Ps],"186
","150
","186
","220
","220
"
最大功率转速[rpm],"4100-6000
","5000-6000
","4100-6000
","4500-6200
","4500-6200
"
最大扭矩[N·m],"320
","250
","320
","350
","350
"
最大扭矩转速[rpm],"1500-4000
","1750-3000
","1500-4000
","1500-4400
","1500-4400
"
燃油标号,"95号
","95号
","95号
","95号
","95号
"
供油方式,"混合喷射
","直喷
","混合喷射
","直喷
","直喷
"
变速箱类型,"湿式双离合
","湿式双离合
","湿式双离合
","湿式双离合
","湿式双离合
"
挡位个数,"7
","7
","7
","7
","7
"
底盘制动
驱动形式,"前轮驱动
","前轮驱动
","前轮驱动
","全时四驱
","全时四驱
"
前悬架类型,"麦弗逊式独立悬架
","麦弗逊式独立悬架
","麦弗逊式独立悬架
","麦弗逊式独立悬架
","麦弗逊式独立悬架
"
后悬架类型,"多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
"
助力类型,"电动助力
","电动助力
","电动助力
","电动助力
","电动助力
"
可调悬架功能,"-
","-
","-
","-
","-
"
可调悬架种类,"-
","-
","-
","-
","-
"
前轮制动类型,"通风盘
","通风盘
","通风盘
","通风盘
","通风盘
"
后轮制动类型,"盘式
","盘式
","盘式
","盘式
","盘式
"
驻车制动类型,"电子驻车
","电子驻车
","电子驻车
","电子驻车
","电子驻车
"
车体结构,"承载式
","承载式
","承载式
","承载式
","承载式
"
限滑差速器/差速锁,"-
","-
","-
","-
","-
"
安全配置
防抱死制动(ABS),"●
","●
","●
","●
","●
"
制动力分配(EBD/CBC等),"●
","●
","●
","●
","●
"
制动辅助(BA/EBA等),"●
","●
","●
","●
","●
"
牵引力控制(ARS/TCS等),"●
","●
","●
","●
","●
"
车身稳定控制(ESP/DSC等),"●
","●
","●
","●
","●
"
主驾驶安全气囊,"●
","●
","●
","●
","●
"
副驾驶安全气囊,"●
","●
","●
","●
","●
"
前侧气囊,"●
","●
","●
","●
","●
"
