奥迪Q5L Sportback
基本信息
车款名称,"21款 40 TFSI 时尚型
","21款 40 TFSI 豪华型
","21款 40 TFSI 上市特别版
","21款 40 TFSI 进享人生版
","21款 45 TFSI 豪华型
","21款 45 TFSI 臻选型
"
厂商指导价,"42.68万
","44.45万
","45.92万
","-
","48.05万
","49.99万
"
城市参考价,"36.70万
5.98万
","38.23万
6.22万
","39.49万
6.43万
","万

","41.32万
6.73万
","42.99万
7.0万
"
上市时间,"2020-11-20
","2020-11-20
","2020-11-20
","-
","2020-11-20
","2020-11-20
"
车型级别,"中型SUV
","中型SUV
","中型SUV
","中型SUV
","中型SUV
","中型SUV
"
车身型式,"SUV
","SUV
","SUV
","跨界车
","SUV
","SUV
"
动力类型,"汽油
","汽油
","汽油
","汽油
","汽油
","汽油
"
发动机,"2.0T 直列 4缸 涡轮增压
","2.0T 直列 4缸 涡轮增压
","2.0T 直列 4缸 涡轮增压
","2.0T 直列 4缸 涡轮增压
","2.0T 直列 4缸 涡轮增压
","2.0T 直列 4缸 涡轮增压
"
最大功率/最大扭矩,"140kW/320N.m
","140kW/320N.m
","140kW/320N.m
","140kW/320N.m
","185kW/370N.m
","185kW/370N.m
"
变速箱类型,"7挡 湿式双离合
","7挡 湿式双离合
","7挡 湿式双离合
","7挡 湿式双离合
","7挡 湿式双离合
","7挡 湿式双离合
"
工信部综合油耗[L/100km],"7.2
","7.2
","7.2
","7.2
","7.5
","7.5
"
0-100km/h加速时间[s],"8.9
","8.9
","8.9
","8.9
","6.8
","6.8
"
最高车速[km/h],"211
","211
","211
","211
","230
","230
"
环保标准,"国六
","国六
","国六
","国六
","国六
","国六
"
保修政策,"3年或10万公里
","3年或10万公里
","3年或10万公里
","3年或10万公里
","3年或10万公里
","3年或10万公里
"
外观颜色,"#000000传奇黑
#39090a斗牛士红
#162b66极光蓝
#e9e9e9唐古拉白
#2f3032天云灰
#f7f6f1朱鹭白
#acb0b3纳多灰
","#000000传奇黑
#39090a斗牛士红
#162b66极光蓝
#e9e9e9唐古拉白
#2f3032天云灰
#f7f6f1朱鹭白
#acb0b3纳多灰
","#000000传奇黑
#39090a斗牛士红
#162b66极光蓝
#e9e9e9唐古拉白
#2f3032天云灰
#f7f6f1朱鹭白
#acb0b3纳多灰
","#2f3032天云灰
","#000000传奇黑
#39090a斗牛士红
#162b66极光蓝
#e9e9e9唐古拉白
#2f3032天云灰
#f7f6f1朱鹭白
#acb0b3纳多灰
","#000000传奇黑
#39090a斗牛士红
#162b66极光蓝
#e9e9e9唐古拉白
#2f3032天云灰
#f7f6f1朱鹭白
#acb0b3纳多灰
"
内饰颜色,"#000000黑色
#000000,#bcbcbc黑色/岩石灰
","#000000黑色
#000000,#bcbcbc黑色/岩石灰
","#000000黑色
#000000,#bcbcbc黑色/岩石灰
","#000000,#821e22黑色/阿拉斯红
","#000000黑色
#000000,#bcbcbc黑色/岩石灰
","#000000黑色
#000000,#bcbcbc黑色/岩石灰
#000000,#821e22黑色/阿拉斯红
"
车身尺寸
长*宽*高[mm],"4778*1892*1666
","4778*1892*1666
","4778*1892*1666
","4778*1892*1666
","4778*1892*1666
","4778*1892*1666
"
轴距[mm],"2908
","2908
","2908
","2908
","2908
","2908
"
整备质量[kg],"1880
","1880
","1880
","1880
","1890
","1890
"
前轮距[mm],"1616
","1616
","1616
","1616
","1616
","1616
"
后轮距[mm],"1609
","1609
","1609
","1609
","1609
","1609
"
座位数[个],"5
","5
","5
","5
","5
","5
"
行李厢容积[L],"520
","520
","520
","520
","520
","520
"
油箱容积[L],"73.0
","73.0
","73.0
","73.0
","73.0
","73.0
"
前轮胎规格,"235/55 R19
","255/45 R20
","255/45 R20
","255/45 R20
","255/45 R20
","255/45 R20
"
后轮胎规格,"235/55 R19
","255/45 R20
","255/45 R20
","255/45 R20
","255/45 R20
","255/45 R20
"
备胎,"非全尺寸
","非全尺寸
","非全尺寸
","非全尺寸
","非全尺寸
","非全尺寸
"
最小转弯直径[m],"11.8
","11.8
","11.8
","-
","11.8
","11.8
"
最小离地间隙[mm],"176
","176
","176
","176
","176
","176
"
动力系统
排量[mL],"1984
","1984
","1984
","1984
","1984
","1984
"
进气形式,"涡轮增压
","涡轮增压
","涡轮增压
","涡轮增压
","涡轮增压
","涡轮增压
"
缸体排列形式,"直列
","直列
","直列
","直列
","直列
","直列
"
气缸数,"4
","4
","4
","4
","4
","4
"
最大功率[kW],"140
","140
","140
","140
","185
","185
"
最大马力[Ps],"190
","190
","190
","190
","252
","252
"
最大功率转速[rpm],"4200-6000
","4200-6000
","4200-6000
","4200-6000
","5000-6000
","5000-6000
"
最大扭矩[N·m],"320
","320
","320
","320
","370
","370
"
最大扭矩转速[rpm],"1450-4200
","1450-4200
","1450-4200
","1450-4200
","1600-4300
","1600-4300
"
燃油标号,"95号
","95号
","95号
","95号
","95号
","95号
"
供油方式,"混合喷射
","混合喷射
","混合喷射
","混合喷射
","混合喷射
","混合喷射
"
变速箱类型,"湿式双离合
","湿式双离合
","湿式双离合
","湿式双离合
","湿式双离合
","湿式双离合
"
挡位个数,"7
","7
","7
","7
","7
","7
"
底盘制动
驱动形式,"适时四驱
","适时四驱
","适时四驱
","适时四驱
","适时四驱
","适时四驱
"
前悬架类型,"多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
"
后悬架类型,"多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
"
助力类型,"电动助力
","电动助力
","电动助力
","电动助力
","电动助力
","电动助力
"
可调悬架功能,"-
","-
","-
","-
","-
","-
"
可调悬架种类,"-
","-
","-
","-
","-
","-
"
前轮制动类型,"通风盘
","通风盘
","通风盘
","通风盘
","通风盘
","通风盘
"
后轮制动类型,"通风盘
","通风盘
","通风盘
","通风盘
","通风盘
","通风盘
"
驻车制动类型,"电子驻车
","电子驻车
","电子驻车
","电子驻车
","电子驻车
","电子驻车
"
车体结构,"承载式
","承载式
","承载式
","承载式
","承载式
","承载式
"
限滑差速器/差速锁,"-
","-
","-
","-
","-
","-
"
安全配置
防抱死制动(ABS),"●
","●
","●
","●
","●
","●
"
制动力分配(EBD/CBC等),"●
","●
","●
","●
","●
","●
"
制动辅助(BA/EBA等),"●
","●
","●
","●
","●
","●
"
牵引力控制(ARS/TCS等),"●
","●
","●
","●
","●
","●
"
车身稳定控制(ESP/DSC等),"●
","●
","●
","●
","●
","●
"
主驾驶安全气囊,"●
","●
","●
","●
","●
","●
"
副驾驶安全气囊,"●
","●
","●
","●
","●
","●
"
前侧气囊,"●
","●
","●
","●
","●
","●
"
后侧气囊,"○选配1600元
","○选配1600元
","-
","○选配1600元
","○选配1600元
","○选配1600元
"
侧安全气帘,"●
","●
","●
","●
","●
","●
"
膝部气囊,"-
","-
","-
","-
","-
","-
"
安全带气囊,"-
","-
","-
","-
","-
","-
"
后排中央气囊,"-
","-
","-
","-
","-
","-
"
被动行人保护,"-
","-
","-
","-
","-
","-
"
胎压监测,"●
","●
","●
","●
","●
","●
"
零胎压续行轮胎,"-
","-
","-
","-
","-
","-
"
儿童座椅接口(ISO FIX/LATCH),"●
","●
","●
","●
","●
","●
"
驾驶辅助
前倒车雷达,"●
","●
","●
","●
","●
","●
"
后倒车雷达,"●
","●
","●
","●
","●
","●
"
倒车车侧预警系统,"-
","-
","-
","-
","-
","-
"
驻车影像系统,"●360度全景摄像
","●360度全景摄像
","●360度全景摄像
","●360度全景摄像
","●360度全景摄像
","●360度全景摄像
"
巡航系统,"●定速巡航
○ACC自适应巡航16200元
","●定速巡航
○ACC自适应巡航16200元
","●定速巡航
","●定速巡航
○ACC自适应巡航16200元
","●定速巡航
○ACC自适应巡航16200元
","●ACC自适应巡航
"
驾驶模式选择,"●
","●
","●
","●
","●
","●
"
车道保持,"○选配4600元
","○选配4400元
","○选配4400元
","○选配4400元
","○选配4400元
","●
"
车道偏离预警,"○选配200元
","●
","●
","●
","●
","●
"
道路交通标识识别,"-
","-
","-
","-
","-
","-
"
并线辅助,"○选配7000元
","●
","●
","●
","●
","●
"
碰撞报警/主动刹车,"●
","●
","●
","●
","●
","●
"
疲劳提醒,"-
","-
","-
","-
","-
","-
"
自动泊车,"●
","●
","●
","●
","●
","●
"
遥控泊车,"-
","-
","-
","-
","-
","-
"
发动机启停,"●
","●
","●
","●
","●
","●
"
自动驾驶辅助,"-
","-
","-
","-
","-
","-
"
自动驻车,"●
","●
","●
","●
","●
","●
"
上坡辅助,"●
","●
","●
","●
","●
","●
"
陡坡缓降,"●
","●
","●
","●
","●
","●
"
夜视系统,"-
","-
","-
","-
","-
","-
"
可变齿比转向,"-
","-
","-
","-
","-
","-
"
整体主动转向系统,"-
","-
","-
","-
","-
","-
"
外部配置
近光灯光源,"●LED
","●LED
","●LED
","●LED
","●LED
","●LED
"
远光灯光源,"●LED
","●LED
","●LED
","●LED
","●LED
","●LED
"
灯光特色功能,"○矩阵式8000元
","○矩阵式8000元
","-
","○矩阵式8000元
","●矩阵式
","●矩阵式
"
LED日间行车灯,"●
","●
","●
","●
","●
","●
"
大灯功能,"●自动开闭
○自动远近光2000元
○自动转向
","●自动开闭
○自动远近光2000元
○自动转向
","●自动开闭
","●自动开闭
○自动远近光2000元
○自动转向
","●自动开闭
●自动远近光
●自动转向
","●自动开闭
●自动远近光
●自动转向
"
