奥迪Q5L
基本信息
车款名称,"21款 40 TFSI 时尚动感型
","21款 40 TFSI 时尚致雅型
","21款 40 TFSI 豪华动感型
","21款 40 TFSI 豪华致雅型
","21款 40 TFSI 进享人生版
","21款 45 TFSI 豪华动感型
","21款 45 TFSI 豪华致雅型
","21款 45 TFSI 甄选动感型
","20款 改款 40 TFSI 荣享进取型
","20款 改款 40 TFSI 荣享时尚型
","20款 45 TFSI 尊享风雅型
","20款 45 TFSI 尊享时尚型
","20款 45 TFSI 尊享运动型
","20款 45 TFSI 尊享豪华运动型
"
厂商指导价,"39.68万
","39.68万
","41.58万
","41.58万
","42.77万
","45.02万
","45.02万
","48.70万
","38.78万
","41.58万
","47.50万
","44.52万
","47.09万
","49.80万
"
城市参考价,"34.12万
5.56万
","34.12万
5.56万
","35.76万
5.82万
","35.76万
5.82万
","36.78万
5.99万
","38.72万
6.3万
","38.72万
6.3万
","41.88万
6.82万
","31.41万
7.37万
","33.68万
7.9万
","38.47万
9.03万
","36.06万
8.46万
","38.14万
8.95万
","40.34万
9.46万
"
上市时间,"2021-05-28
","2021-05-28
","2021-05-28
","2021-05-28
","2021-05-28
","2021-05-28
","2021-05-28
","2021-05-28
","2020-08-01
","2020-08-01
","2019-11-26
","2019-11-26
","2019-11-26
","2019-11-26
"
车型级别,"中型SUV
","中型SUV
","中型SUV
","中型SUV
","中型SUV
","中型SUV
","中型SUV
","中型SUV
","中型SUV
","中型SUV
","中型SUV
","中型SUV
","中型SUV
","中型SUV
"
车身型式,"SUV
","SUV
","SUV
","SUV
","SUV
","SUV
","SUV
","SUV
","SUV
","SUV
","SUV
","SUV
","SUV
","SUV
"
动力类型,"汽油
","汽油
","汽油
","汽油
","汽油
","汽油
","汽油
","汽油
","汽油
","汽油
","汽油
","汽油
","汽油
","汽油
"
发动机,"2.0T 直列 4缸 涡轮增压
","2.0T 直列 4缸 涡轮增压
","2.0T 直列 4缸 涡轮增压
","2.0T 直列 4缸 涡轮增压
","2.0T 直列 4缸 涡轮增压
","2.0T 直列 4缸 涡轮增压
","2.0T 直列 4缸 涡轮增压
","2.0T 直列 4缸 涡轮增压
","2.0T 直列 4缸 涡轮增压
","2.0T 直列 4缸 涡轮增压
","2.0T 直列 4缸 涡轮增压
","2.0T 直列 4缸 涡轮增压
","2.0T 直列 4缸 涡轮增压
","2.0T 直列 4缸 涡轮增压
"
最大功率/最大扭矩,"140kW/320N.m
","140kW/320N.m
","140kW/320N.m
","140kW/320N.m
","140kW/320N.m
","185kW/370N.m
","185kW/370N.m
","185kW/370N.m
","140kW/320N.m
","140kW/320N.m
","185kW/370N.m
","185kW/370N.m
","185kW/370N.m
","185kW/370N.m
"
变速箱类型,"7挡 湿式双离合
","7挡 湿式双离合
","7挡 湿式双离合
","7挡 湿式双离合
","7挡 湿式双离合
","7挡 湿式双离合
","7挡 湿式双离合
","7挡 湿式双离合
","7挡 湿式双离合
","7挡 湿式双离合
","7挡 湿式双离合
","7挡 湿式双离合
","7挡 湿式双离合
","7挡 湿式双离合
"
工信部综合油耗[L/100km],"7.2
","7.2
","7.2
","7.2
","7.2
","7.5
","7.5
","7.5
","7.5
","7.5
","7.4
","7.4
","7.4
","7.4
"
0-100km/h加速时间[s],"9.0
","9.0
","9.0
","9.0
","9.0
","6.9
","6.9
","6.9
","8.6
","8.6
","6.7
","6.7
","6.7
","6.7
"
最高车速[km/h],"211
","211
","211
","211
","211
","230
","230
","230
","210
","210
","231
","231
","231
","231
"
环保标准,"国六
","国六
","国六
","国六
","国六
","国六
","国六
","国六
","国六
","国六
","国六
","国六
","国六
","国六
"
保修政策,"3年或10万公里
","3年或10万公里
","3年或10万公里
","3年或10万公里
","3年或10万公里
","3年或10万公里
","3年或10万公里
","3年或10万公里
","3年或10万公里
","3年或10万公里
","3年或10万公里
","3年或10万公里
","3年或10万公里
","3年或10万公里
"
