奥迪Q7
基本信息
车款名称,"21款 45 TFSI quattro S line 运动型
","21款 45 TFSI quattro S line 豪华型
","21款 55 TFSI quattro S line 运动型
","21款 55 TFSI quattro S line 尊贵型
"
厂商指导价,"68.88万
","72.58万
","75.88万
","83.88万
"
城市参考价,"64.06万
4.82万
","67.50万
5.08万
","70.57万
5.31万
","78.01万
5.87万
"
上市时间,"2020-12-01
","2020-12-01
","2020-12-01
","2020-12-01
"
车型级别,"中大型SUV
","中大型SUV
","中大型SUV
","中大型SUV
"
车身型式,"SUV
","SUV
","SUV
","SUV
"
动力类型,"汽油
","汽油
","汽油
","汽油
"
发动机,"2.0T 直列 4缸 涡轮增压
","2.0T 直列 4缸 涡轮增压
","3.0T V型 6缸 涡轮增压
","3.0T V型 6缸 涡轮增压
"
最大功率/最大扭矩,"180kW/370N.m
","180kW/370N.m
","250kW/500N.m
","250kW/500N.m
"
变速箱类型,"8挡 手自一体
","8挡 手自一体
","8挡 手自一体
","8挡 手自一体
"
工信部综合油耗[L/100km],"8.8
","8.8
","9.3
","9.3
"
0-100km/h加速时间[s],"7.1
","7.1
","5.9
","5.9
"
最高车速[km/h],"231
","231
","250
","250
"
环保标准,"国六
","国六
","国六
","国六
"
保修政策,"3年或10万公里
","3年或10万公里
","3年或10万公里
","3年或10万公里
"
外观颜色,"#231816墨黑
#D6DCDC冰川白
#010005魔力黑
#434748天云灰
#c0c0c0花剑银
#182843纳瓦拉蓝
#CD0011斗牛士红
#521705凯撒棕
","#231816墨黑
#D6DCDC冰川白
#010005魔力黑
#434748天云灰
#c0c0c0花剑银
#182843纳瓦拉蓝
#CD0011斗牛士红
#521705凯撒棕
","#231816墨黑
#D6DCDC冰川白
#010005魔力黑
#434748天云灰
#c0c0c0花剑银
#182843纳瓦拉蓝
#CD0011斗牛士红
#521705凯撒棕
","#231816墨黑
#D6DCDC冰川白
#010005魔力黑
#434748天云灰
#c0c0c0花剑银
#182843纳瓦拉蓝
#CD0011斗牛士红
#521705凯撒棕
"
内饰颜色,"#000000黑色
#000000,#4f3a34黑色/霍加彼棕
#000000,#7d7d7d黑色/都市灰
#000000,#b7ae9c黑色/羚羊米
","#000000黑色
#000000,#4f3a34黑色/霍加彼棕
#000000,#7d7d7d黑色/都市灰
#000000,#b7ae9c黑色/羚羊米
","#000000黑色
#000000,#4f3a34黑色/霍加彼棕
#000000,#7d7d7d黑色/都市灰
#000000,#b7ae9c黑色/羚羊米
","#000000黑色
#000000,#4f3a34黑色/霍加彼棕
#000000,#7d7d7d黑色/都市灰
#000000,#b7ae9c黑色/羚羊米
"
车身尺寸
长*宽*高[mm],"5067*1970*1731
","5067*1970*1731
","5067*1970*1712
","5067*1970*1712
"
轴距[mm],"2996
","2996
","2999
","2999
"
整备质量[kg],"2115
","2130
","2265
","2280
"
座位数[个],"7
","7
","7
","7
"
油箱容积[L],"85.0
","85.0
","85.0
","85.0
"
前轮胎规格,"285/45 R20
","285/45 R20
","285/40 R21
","285/40 R21
"
后轮胎规格,"285/45 R20
","285/45 R20
","285/40 R21
","285/40 R21
"
备胎,"无备胎
","无备胎
","无备胎
","无备胎
"
动力系统
发动机型号,"-
","-
","DCB
","DCB
"
排量[mL],"1984
","1984
","2995
","2995
"
进气形式,"涡轮增压
","涡轮增压
","涡轮增压
","涡轮增压
"
缸体排列形式,"直列
","直列
","V型
","V型
"
气缸数,"4
","4
","6
","6
"
最大功率[kW],"180
","180
","250
","250
"
最大马力[Ps],"245
","245
","340
","340
"
最大功率转速[rpm],"5000-6500
","5000-6500
","5200-6400
","5200-6400
"
最大扭矩[N·m],"370
","370
","500
","500
"
最大扭矩转速[rpm],"1600-4300
","1600-4300
","1370-4500
","1370-4500
"
燃油标号,"95号
","95号
","95号
","95号
"
供油方式,"混合喷射
","混合喷射
","混合喷射
","混合喷射
"
变速箱类型,"手自一体
","手自一体
","手自一体
","手自一体
"
挡位个数,"8
","8
","8
","8
"
底盘制动
驱动形式,"全时四驱
","全时四驱
","全时四驱
","全时四驱
"
前悬架类型,"多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
"
后悬架类型,"多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
"
助力类型,"电动助力
","电动助力
","电动助力
","电动助力
"
可调悬架功能,"-
","-
","●
","●
"
可调悬架种类,"-
","-
","●空气悬架
","●空气悬架
"
