奥迪Q8
基本信息
车款名称,"21款 45 TFSI quattro 豪华致雅型
","21款 45 TFSI quattro 臻选动感型
","21款 55 TFSI quattro 豪华动感型
","21款 55 TFSI quattro 臻选动感型
","21款 55 TFSI quattro 尊享动感型
"
厂商指导价,"76.88万
","81.88万
","85.88万
","89.88万
","101.88万
"
城市参考价,"71.50万
5.38万
","76.15万
5.73万
","80.73万
5.15万
","84.49万
5.39万
","95.77万
6.11万
"
上市时间,"2020-10-23
","2020-10-23
","2020-10-23
","2020-10-23
","2020-10-23
"
车型级别,"中大型SUV
","中大型SUV
","中大型SUV
","中大型SUV
","中大型SUV
"
车身型式,"SUV
","SUV
","SUV
","SUV
","SUV
"
动力类型,"汽油
","汽油
","汽油
","汽油
","汽油
"
发动机,"2.0T 直列 4缸 涡轮增压
","2.0T 直列 4缸 涡轮增压
","3.0T V型 6缸 涡轮增压
","3.0T V型 6缸 涡轮增压
","3.0T V型 6缸 涡轮增压
"
最大功率/最大扭矩,"180kW/370N.m
","180kW/370N.m
","250kW/500N.m
","250kW/500N.m
","250kW/500N.m
"
变速箱类型,"8挡 手自一体
","8挡 手自一体
","8挡 手自一体
","8挡 手自一体
","8挡 手自一体
"
工信部综合油耗[L/100km],"8.9
","8.9
","9.0
","9.0
","9.0
"
0-100km/h加速时间[s],"7.4
","7.4
","6.2
","6.2
","6.2
"
最高车速[km/h],"231
","231
","250
","250
","250
"
环保标准,"国六
","国六
","国六
","国六
","国六
"
保修政策,"3年或10万公里
","3年或10万公里
","3年或10万公里
","3年或10万公里
","3年或10万公里
"
外观颜色,"#32607A星际蓝
#182d63纳瓦拉蓝
#ffffff卡拉拉白
#7E8585武士灰
#000000墨黑
#f0f0f0冰川白
#242328魔力黑
#adacb1花剑银
#515554天云灰
#710D13斗牛士红
#391416凯撒棕
#D38431鎏金橙
","#32607A星际蓝
#182d63纳瓦拉蓝
#ffffff卡拉拉白
#7E8585武士灰
#000000墨黑
#f0f0f0冰川白
#242328魔力黑
#adacb1花剑银
#515554天云灰
#710D13斗牛士红
#391416凯撒棕
#D38431鎏金橙
","#32607A星际蓝
#182d63纳瓦拉蓝
#ffffff卡拉拉白
#7E8585武士灰
#000000墨黑
#f0f0f0冰川白
#242328魔力黑
#adacb1花剑银
#515554天云灰
#710D13斗牛士红
#391416凯撒棕
#D38431鎏金橙
","#32607A星际蓝
#182d63纳瓦拉蓝
#ffffff卡拉拉白
#7E8585武士灰
#000000墨黑
#f0f0f0冰川白
#242328魔力黑
#adacb1花剑银
#515554天云灰
#710D13斗牛士红
#391416凯撒棕
#D38431鎏金橙
","#32607A星际蓝
#182d63纳瓦拉蓝
#ffffff卡拉拉白
#7E8585武士灰
#000000墨黑
#f0f0f0冰川白
#242328魔力黑
#adacb1花剑银
#515554天云灰
#710D13斗牛士红
#391416凯撒棕
#D38431鎏金橙
"
内饰颜色,"#000000黑色
#000000,#7b5c53黑色/霍加狓棕
#000000,#93948f黑色/都市灰
#000000,#aa8d78黑色/羚羊米
","#000000黑色
#000000,#93948f黑色/都市灰
#000000,#aa8d78黑色/羚羊米
#000000,#775546黑色/雪松棕
","#000000黑色
#000000,#7b5c53黑色/霍加狓棕
#000000,#93948f黑色/都市灰
#000000,#aa8d78黑色/羚羊米
","#000000黑色
#000000,#706f74黑色/旋翼灰
","#000000黑色
#000000,#706f74黑色/旋翼灰
"
车身尺寸
长*宽*高[mm],"4986*1995*1702
","5006*1995*1704
","5006*1995*1704
","5006*1995*1704
","5006*1995*1695
"
轴距[mm],"2995
","2995
","2995
","2995
","2998
"
座位数[个],"5
","5
","5
","5
","5
"
行李厢容积[L],"605-1755
","605-1755
","605-1755
","605-1755
","605-1755
"
油箱容积[L],"85.0
","85.0
","85.0
","85.0
","85.0
"
前轮胎规格,"275/50 R20
","285/45 R21
","285/45 R21
","285/45 R21
","285/40 R22
"
后轮胎规格,"275/50 R20
","285/45 R21
","285/45 R21
","285/45 R21
","285/40 R22
"
备胎,"非全尺寸
","非全尺寸
","非全尺寸
","非全尺寸
","非全尺寸
"
最小转弯直径[m],"13.2
","13.2
","13.2
","13.2
","13.2
"
最小离地间隙[mm],"218
","220
","220
","220
","172
"
动力系统
排量[mL],"1984
","1984
","2995
","2995
","2995
"
进气形式,"涡轮增压
","涡轮增压
","涡轮增压
","涡轮增压
","涡轮增压
"
缸体排列形式,"直列
","直列
","V型
","V型
","V型
"
气缸数,"4
","4
","6
","6
","6
"
最大功率[kW],"180
","180
","250
","250
","250
"
最大马力[Ps],"245
","245
","340
","340
","340
"
最大功率转速[rpm],"5000-6000
","5000-6000
","5300
","5300
","5300
"
最大扭矩[N·m],"370
","370
","500
","500
","500
"
最大扭矩转速[rpm],"1600-4500
","1600-4500
","1500-5300
","1500-5300
","1500-5300
"
燃油标号,"95号
","95号
","95号
","95号
","95号
"
供油方式,"混合喷射
","混合喷射
","直喷
","直喷
","直喷
"
变速箱类型,"手自一体
","手自一体
","手自一体
","手自一体
","手自一体
"
挡位个数,"8
","8
","8
","8
","8
"
底盘制动
驱动形式,"全时四驱
","全时四驱
","全时四驱
","全时四驱
","全时四驱
"
前悬架类型,"多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
"
后悬架类型,"多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
"
助力类型,"电动助力
","电动助力
","电动助力
","电动助力
","电动助力
"
可调悬架功能,"●
","●
","●
","●
","●
"
可调悬架种类,"●空气悬架
","●空气悬架
","●空气悬架
","●空气悬架
","●空气悬架
"
前轮制动类型,"通风盘
","通风盘
","通风盘
","通风盘
","通风盘
"
后轮制动类型,"通风盘
","通风盘
","通风盘
","通风盘
","通风盘
"
驻车制动类型,"电子驻车
","电子驻车
","电子驻车
","电子驻车
","电子驻车
"
车体结构,"承载式
","承载式
","承载式
","承载式
","承载式
"
限滑差速器/差速锁,"-
","-
","-
","-
","-
"
接近角[°],"23.0
","-
","23.0
","23.0
","18.0
"
离去角[°],"24.0
","-
","24.0
","24.0
","21.0
"
安全配置
防抱死制动(ABS),"●
","●
","●
","●
","●
"
制动力分配(EBD/CBC等),"●
","●
","●
","●
","●
"
制动辅助(BA/EBA等),"●
","●
","●
","●
","●
"
牵引力控制(ARS/TCS等),"●
","●
","●
","●
","●
"
车身稳定控制(ESP/DSC等),"●
","●
","●
","●
","●
"
主驾驶安全气囊,"●
","●
","●
","●
","●
"
副驾驶安全气囊,"●
","●
","●
","●
","●
"
前侧气囊,"●
","●
","●
","●
","●
"
后侧气囊,"○选配5900元
","○选配5900元
","○选配5900元
","○选配5900元
","○选配5900元
"
侧安全气帘,"●
","●
","●
","●
","●
"
膝部气囊,"-
","-
","-
","-
","-
"
安全带气囊,"-
","-
","-
","-
","-
"
后排中央气囊,"-
","-
","-
","-
","-
"
被动行人保护,"-
","-
","-
","-
","-
"
胎压监测,"●
","●
","●
","●
","●
"
零胎压续行轮胎,"-
","-
","-
","-
","-
"
儿童座椅接口(ISO FIX/LATCH),"●
","●
","●
","●
","●
"
驾驶辅助
前倒车雷达,"●
","●
","●
","●
","●
"
后倒车雷达,"●
","●
","●
","●
","●
"
倒车车侧预警系统,"-
","-
","-
","-
","-
"
驻车影像系统,"●360度全景摄像
","●360度全景摄像
","●360度全景摄像
","●360度全景摄像
","●360度全景摄像
"
巡航系统,"●定速巡航
○ACC自适应巡航19100元
","●定速巡航
○ACC自适应巡航19100元
","●定速巡航
○ACC自适应巡航19100元
","●定速巡航
○ACC自适应巡航19100元
","●ACC自适应巡航
"
驾驶模式选择,"●
","●
","●
","●
","●
"
车道保持,"○选配2200元
","○选配2200元
","○选配2200元
","○选配2200元
","●
"
车道偏离预警,"○
","○
","○
","○
","●
"
道路交通标识识别,"-
","-
","-
","-
","-
"
并线辅助,"-
","-
","-
","-
","-
"
碰撞报警/主动刹车,"●
","●
","●
","●
","●
"
疲劳提醒,"●
","●
","●
","●
","●
"
自动泊车,"-
","-
","●
","●
","●
"
遥控泊车,"-
","-
","-
","-
","-
"
发动机启停,"●
","●
","●
","●
","●
"
自动驾驶辅助,"-
","-
","○
","○
","●
"
自动驻车,"●
","●
","●
","●
","●
"
上坡辅助,"●
","●
","●
","●
","●
"
陡坡缓降,"●
","●
","●
","●
","●
"
夜视系统,"-
","-
","-
","-
","-
"
可变齿比转向,"-
","-
","-
","-
","-
"
整体主动转向系统,"-
","-
","-
","-
","●
"
外部配置
近光灯光源,"●LED
","●LED
","●LED
","●LED
","●LED
"
远光灯光源,"●LED
","●LED
","●LED
","●LED
","●LED
"
灯光特色功能,"○矩阵式24900元
","○矩阵式24900元
","○矩阵式24900元
","●矩阵式
","●矩阵式
"
LED日间行车灯,"●
","●
","●
","●
","●
"
大灯功能,"●自动开闭
●转向辅助灯
○自动远近光
○自动转向
","●自动开闭
●转向辅助灯
○自动远近光
○自动转向
","●自动开闭
●转向辅助灯
○自动远近光
○自动转向
","●自动开闭
●自动远近光
●自动转向
●转向辅助灯
","●自动开闭
●自动远近光
●自动转向
●转向辅助灯
"
前雾灯,"-
","-
","-
","-
","-
"
大灯调节/清洗,"●高度调节
○大灯清洗4600元
","●高度调节
○大灯清洗4600元
","●高度调节
○大灯清洗4600元
","●高度调节
●大灯清洗
","●高度调节
●大灯清洗
"
天窗类型,"●全景天窗
","●全景天窗
","●全景天窗
","●全景天窗
","●全景天窗
"
运动外观套件,"-
","●
","●
","●
","●
"
轮圈材质,"铝合金轮圈
","铝合金轮圈
","铝合金轮圈
","铝合金轮圈
","铝合金轮圈
"
前电动车窗,"●
","●
","●
","●
","●
"
后电动车窗,"●
","●
","●
","●
","●
"
车窗一键升降,"●全车
","●全车
","●全车
","●全车
","●全车
"
车窗防夹手功能,"●
","●
","●
","●
","●
"
多层隔音玻璃,"-
","-
","-
","-
","-
"
外后视镜电动调节,"●电动调节
●电动折叠
●后视镜加热
","●电动调节
●电动折叠
●后视镜记忆
●后视镜加热
","●电动调节
●电动折叠
●后视镜加热
","●电动调节
●电动折叠
●后视镜记忆
●后视镜加热
","●电动调节
●电动折叠
●后视镜记忆
●后视镜加热
"
外后视镜自动防眩目,"●
","●
","●
","●
","●
"
内后视镜自动防眩目,"●
","●
","●
","●
","●
"
流媒体内后视镜,"-
","-
","-
","-
","-
"
流媒体外后视镜,"-
","-
","-
","-
","-
"
隔热/隐私玻璃,"-
","-
","-
","-
","-
"
后排侧遮阳帘,"○选配8800元
","○选配8800元
","○选配8800元
","○选配8800元
","●
"
后遮阳帘,"-
","-
","-
","-
","-
"
前雨刷器,"●感应雨刷
","●感应雨刷
","●感应雨刷
","●感应雨刷
","●感应雨刷
"
后雨刷器,"●后雨刷
","●后雨刷
","●后雨刷
","●后雨刷
","●后雨刷
"
可加热喷水嘴,"-
","-
","-
","-
","-
"
电吸门,"○选配9400元
","○选配9400元
","○选配9400元
","○选配9400元
","○选配9400元
"
电动侧滑门,"-
","-
","-
","-
","-
"
行李厢开启功能,"●电动开合
●自动感应
","●电动开合
●自动感应
","●电动开合
●自动感应
","●电动开合
●自动感应
","●电动开合
●自动感应
"
车顶行李架,"○
","○
","○
","○
","○
"
中控锁,"●遥控中控
","●遥控中控
","●遥控中控
","●遥控中控
","●遥控中控
"
智能钥匙,"●智能进入
●无钥匙启动
","●智能进入
●无钥匙启动
","●智能进入
●无钥匙启动
","●智能进入
●无钥匙启动
","●智能进入
●无钥匙启动
"
APP远程遥控功能,"-
","-
","-
","-
","-
"
远程启动功能,"-
","-
","-
","-
","-
"
主动闭合式进气格栅,"-
","-
","-
","-
","-
"
尾翼/扰流板,"-
","-
","-
","-
","-
"
内部配置
内饰材质,"●塑料
●皮质
●金属
○木制2200元
","●塑料
●皮质
●木制
","●塑料
●皮质
●木制
","●塑料
●皮质
●金属
○木制
","●塑料
●皮质
●木制
"
车内氛围灯,"●
","●
","●
","●
","●
"
遮阳板化妆镜,"●
","●
","●
","●
","●
"
方向盘材质,"●皮质
","●皮质
","●皮质
","●皮质
","●皮质
"
多功能方向盘,"●
","●
","●
","●
","●
"
方向盘调节,"●上下调节
●前后调节
○电动上下前后调节5900元
","●上下调节
●前后调节
○电动上下前后调节5900元
○记忆
","●上下调节
●前后调节
○电动上下前后调节5900元
","●上下调节
●前后调节
○电动上下前后调节5900元
○记忆
","●电动上下前后调节
●记忆
"
方向盘加热,"○选配3200元
","○选配3200元
","○选配3200元
","○选配3200元
","-
"
方向盘换挡,"●
","●
","●
","●
","●
"
前排空调,"●双温区自动空调
","●双温区自动空调
","●双温区自动空调
","●双温区自动空调
","●双温区自动空调
"
后排空调,"●自动空调
○双温区自动空调8500元
","●双温区自动空调
","●自动空调
○双温区自动空调8500元
","●双温区自动空调
","●双温区自动空调
"
车载空气净化器,"-
","●
","●
","●
","●
"
车内PM2.5过滤装置,"●
","●
","●
","●
","●
"
负离子发生器,"-
","●
","●
","●
","●
"
香氛系统,"-
","●
","●
","●
","●
"
车载冰箱,"-
","-
","-
","-
","-
"
主动降噪,"-
","-
","-
","-
","-
"
座椅配置
座椅材质,"●皮质
","●皮质
","●皮质
","●皮质
","●皮质
"
运动风格座椅,"-
","-
","-
","●
","●
"
主座椅电动调节,"●电动调节
","●带记忆电动调节
","●电动调节
","●带记忆电动调节
","●带记忆电动调节
"
副座椅电动调节,"●电动调节
","●电动调节
","●电动调节
","●电动调节
","●电动调节
"
主座椅调节方式,"●靠背调节
●高低调节
●腰部调节
●前后调节
","●靠背调节
●高低调节
●腰部调节
●前后调节
","●靠背调节
●高低调节
●腰部调节
●前后调节
","●靠背调节
●高低调节
●腰部调节
●前后调节
○腿托调节
","●靠背调节
●高低调节
●腰部调节
●腿托调节
●前后调节
"
副座椅调节方式,"●靠背调节
●高低调节
●腰部调节
●前后调节
","●靠背调节
●高低调节
●腰部调节
●前后调节
","●靠背调节
●高低调节
●腰部调节
●前后调节
","●靠背调节
●高低调节
●腰部调节
●前后调节
○腿托调节
","●靠背调节
●高低调节
●腰部调节
●腿托调节
●前后调节
"
第二排座椅电动调节,"-
","-
","-
","-
","-
"
第二排座椅调节方式,"●靠背调节
○前后调节
","●靠背调节
○前后调节
","●靠背调节
○前后调节
","●靠背调节
○前后调节
","●靠背调节
●前后调节
"
前排座椅功能,"●加热
○通风16200元
","●加热
○通风16200元
","●加热
○通风16200元
","●加热
","●加热
●通风
●按摩
"
后排座椅功能,"○加热5900元
","○加热5900元
","○加热5900元
","○加热5900元
","●加热
"
前中央扶手,"●
","●
","●
","●
","●
"
后中央扶手,"●
","●
","●
","●
","●
"
第三排座椅,"-
","-
","-
","-
","-
"
座椅布局,"-
","-
","-
","-
","-
"
后排座椅放倒方式,"●比例放倒
","●比例放倒
","●比例放倒
","●比例放倒
","●比例放倒
"
后排杯架,"●
","●
","●
","●
","●
"
后排折叠桌板,"-
","-
","-
","-
","-
"
信息娱乐
中控彩色液晶屏,"●触控式液晶屏
","●触控式液晶屏
","●触控式液晶屏
","●触控式液晶屏
","●触控式液晶屏
"
液晶屏尺寸,"●10.1
","●10.1
","●10.1
","●10.1
","●10.1
"
全液晶仪表盘,"●
","●
","●
","●
","●
"
行车电脑显示屏,"●
","●
","●
","●
","●
"
液晶仪表尺寸,"12.3
","12.3
","12.3
","12.3
","12.3
"
HUD平视显示,"○选配20500元
","○选配20500元
","○选配20500元
","○选配20500元
","●
"
GPS导航系统,"●GPS导航
●实时路况
●在线地图
","●GPS导航
●实时路况
●在线地图
","●GPS导航
●实时路况
●在线地图
","●GPS导航
●实时路况
●在线地图
","●GPS导航
●实时路况
●在线地图
"
紧急道路救援,"●
","●
","●
","●
","●
"
蓝牙/WiFi连接,"●蓝牙
","●蓝牙
","●蓝牙
","●蓝牙
","●蓝牙
"
车载APP应用,"-
","-
","-
","-
","-
"
4G网络,"●
","●
","●
","●
","●
"
车载WiFi热点,"●
","●
","●
","●
","●
"
OTA升级,"-
","-
","-
","-
","-
"
语音控制,"●智能语音控制
","●智能语音控制
","●智能语音控制
","●智能语音控制
","●智能语音控制
"
手机互联,"●CarPlay
●CarLife
●手机互联
","●CarPlay
●CarLife
●手机互联
","●CarPlay
●CarLife
●手机互联
","●CarPlay
●CarLife
●手机互联
","●CarPlay
●CarLife
●手机互联
"
手机无线充电,"●
","●
","●
","●
","●
"
手势控制系统,"-
","-
","-
","-
","-
"
CD/DVD,"-
","-
","-
","-
","-
"
外接音源接口,"●USB
●SD卡槽
","●USB
●SD卡槽
","●USB
●SD卡槽
","●USB
●SD卡槽
","●USB
●SD卡槽
"
车载行车记录仪,"-
","-
","-
","-
","-
"
车载电视,"-
","-
","-
","-
","-
"
后排控制多媒体,"-
","-
","-
","-
","-
"
扬声器数量[个],"●9-12
○12个以上
","●12个以上
","●12个以上
","●12个以上
","●12个以上
"
后排液晶屏,"-
","-
","-
","-
","-
"
音响品牌,"○B＆O16900元
","●B＆O
","●B＆O
","●B＆O
","●B＆O
"
车载220V电源,"-
","-
","-
","-
","-
"
