奥迪R8
基本信息
车款名称,"21款 R8 V10 Coupe Performance
","21款 R8 V10 Coupe Performance 收藏家版
"
厂商指导价,"228.88万
","275.34万
"
城市参考价,"228.88万
0.0万
","275.34万
0.0万
"
上市时间,"2021-05-14
","2021-01-28
"
车型级别,"中型跑车
","中型跑车
"
车身型式,"跑车
","跑车
"
动力类型,"汽油
","汽油
"
发动机,"5.2L V型 10缸 自然吸气
","5.2L V型 10缸 自然吸气
"
最大功率/最大扭矩,"456kW/570N.m
","456kW/570N.m
"
变速箱类型,"7挡 湿式双离合
","7挡 湿式双离合
"
工信部综合油耗[L/100km],"13.2
","13.2
"
0-100km/h加速时间[s],"3.1
","3.1
"
最高车速[km/h],"331
","331
"
环保标准,"国六
","国六
"
保修政策,"3年或10万公里
","3年或10万公里
"
外观颜色,"#333e50天云灰
#000000传奇黑
#F2F2F2朱鹭白
#CED2D4铃鹿灰
#f9b900维加斯黄
#3d5fc4金刚鹦鹉蓝
#d40707探戈红
#919896花剑银
#6c7481凯莫拉灰
#122d58阿斯卡里蓝
","#333e50天云灰
"
内饰颜色,"#000000黑色
#000000,#f71616黑色/冲刺红
#000000,#a8a8a8黑色/岩石灰
#000000,#b06c48黑色/棕色
","#000000黑色
"
车身尺寸
长*宽*高[mm],"4429*1940*1236
","4429*1940*1236
"
轴距[mm],"2650
","2650
"
整备质量[kg],"1665
","1665
"
座位数[个],"2
","2
"
油箱容积[L],"73.0
","73.0
"
前轮胎规格,"245/30 R20
","245/30 R20
"
后轮胎规格,"305/30 R20
","305/30 R20
"
备胎,"无备胎
","无备胎
"
动力系统
排量[mL],"5204
","5204
"
进气形式,"自然吸气
","自然吸气
"
缸体排列形式,"V型
","V型
"
气缸数,"10
","10
"
最大功率[kW],"456
","456
"
最大马力[Ps],"620
","620
"
最大功率转速[rpm],"8250
","8250
"
最大扭矩[N·m],"570
","570
"
最大扭矩转速[rpm],"6500
","6500
"
燃油标号,"95号
","95号
"
供油方式,"混合喷射
","混合喷射
"
变速箱类型,"湿式双离合
","湿式双离合
"
挡位个数,"7
","7
"
底盘制动
驱动形式,"全时四驱
","全时四驱
"
前悬架类型,"双横臂式独立悬架
","双横臂式独立悬架
"
后悬架类型,"双横臂式独立悬架
","双横臂式独立悬架
"
助力类型,"电动助力
","电动助力
"
可调悬架功能,"○
","○
"
可调悬架种类,"○电磁感应悬架
","○电磁感应悬架
"
前轮制动类型,"碳纤维陶瓷
","碳纤维陶瓷
"
后轮制动类型,"碳纤维陶瓷
","碳纤维陶瓷
"
