奥迪e-tron(进口)
基本信息
车款名称,"21款 Sportback 55 quattro 豪华型
","21款 Sportback 55 quattro 臻选型
","20款 55 quattro 时尚版
","20款 55 quattro 技术版
","20款 55 quattro 专享版
","20款 55 quattro 全球限量版
"
厂商指导价,"65.88万
","71.88万
","69.28万
","76.08万
","80.08万
","82.86万
"
城市参考价,"61.93万
3.95万
","67.57万
4.31万
","51.96万
17.32万
","57.06万
19.02万
","60.06万
20.02万
","62.14万
20.72万
"
补贴后售价,"-
","-
","69.28万
","76.08万
","80.08万
","82.86万
"
上市时间,"2021-04-11
","2021-04-11
","2019-11-18
","2019-11-18
","2019-11-18
","2019-11-18
"
车型级别,"中大型SUV
","中大型SUV
","中大型SUV
","中大型SUV
","中大型SUV
","中大型SUV
"
车身型式,"跨界车
","跨界车
","SUV
","SUV
","SUV
","SUV
"
动力类型,"纯电
","纯电
","纯电
","纯电
","纯电
","纯电
"
电动机总功率[kW],"300
","300
","300
","300
","300
","300
"
电动机总扭矩[N·m],"664
","664
","664
","664
","664
","664
"
变速箱类型,"2挡 自动
","2挡 自动
","2挡 自动
","2挡 自动
","2挡 自动
","2挡 自动
"
NEDC最大续航里程[km],"500
","500
","470
","470
","470
","470
"
0-100km/h加速时间[s],"5.7
","5.7
","5.7
","5.7
","5.7
","5.7
"
最高车速[km/h],"200
","200
","200
","200
","200
","200
"
保修政策,"3年或10万公里
","3年或10万公里
","3年或10万公里
","3年或10万公里
","3年或10万公里
","3年或10万公里
"
电池保修政策,"-
","-
","8年 16万公里
","8年 16万公里
","8年 16万公里
","8年 16万公里
"
外观颜色,"#1e86d1安提瓜蓝
#c1c3b8暹罗米
#ffffff冰川白
#000000旋风黑
#081831纳瓦拉蓝
#181818米索斯黑
#2f3334花剑银
#d6171d加泰罗尼亚红
#34495e等离子蓝
#575b5a天云灰
","#1e86d1安提瓜蓝
#c1c3b8暹罗米
#ffffff冰川白
#000000旋风黑
#081831纳瓦拉蓝
#181818米索斯黑
#2f3334花剑银
#d6171d加泰罗尼亚红
#34495e等离子蓝
#575b5a天云灰
","#536175风暴灰
#c1c3b8暹罗米
#ffffff冰川白
#164a79星际蓝
#000000旋风黑
#1f2525曼哈顿灰
#181818米索斯黑
#081831纳瓦拉蓝
#2f3334花剑银
#d6171d加泰罗尼亚红
","#536175风暴灰
#c1c3b8暹罗米
#ffffff冰川白
#164a79星际蓝
#000000旋风黑
#1f2525曼哈顿灰
#181818米索斯黑
#081831纳瓦拉蓝
#2f3334花剑银
#d6171d加泰罗尼亚红
","#536175风暴灰
#c1c3b8暹罗米
#ffffff冰川白
#164a79星际蓝
#000000旋风黑
#1f2525曼哈顿灰
#181818米索斯黑
#081831纳瓦拉蓝
#2f3334花剑银
#d6171d加泰罗尼亚红
","#1e86d1安提瓜蓝
"
内饰颜色,"#000000黑色
","#000000黑色
#000000,#aaaaaa黑色/灰色
","#000000黑色
#c57450棕色
#000000,#aaaaaa黑色/灰色
#baac75米色
","#000000黑色
#c57450棕色
#000000,#aaaaaa黑色/灰色
#baac75米色
","#000000黑色
#c57450棕色
#000000,#aaaaaa黑色/灰色
#baac75米色
","#000000黑色
#c57450棕色
#000000,#aaaaaa黑色/灰色
#baac75米色
"
车身尺寸
长*宽*高[mm],"4902*1935*1618
","4902*1935*1618
","4901*1935*1628
","4901*1935*1628
","4901*1935*1628
","4901*1935*1628
"
轴距[mm],"2928
","2928
","2928
","2928
","2928
","2928
"
整备质量[kg],"-
","-
","2630
","2630
","2630
","2630
"
座位数[个],"5
","5
","5
","5
","5
","5
"
