奥迪e-tron
基本信息
车款名称,"21款 50 quattro 臻选型
","21款 50 quattro 尊享型
","21款 50 quattro 豪华型
"
厂商指导价,"58.58万
","64.88万
","54.68万
"
城市参考价,"51.55万
7.03万
","57.09万
7.79万
","48.12万
6.56万
"
上市时间,"2021-04-11
","2021-04-11
","2021-04-11
"
车型级别,"中大型SUV
","中大型SUV
","中大型SUV
"
车身型式,"SUV
","SUV
","SUV
"
动力类型,"纯电
","纯电
","纯电
"
电动机总功率[kW],"230
","230
","230
"
电动机总扭矩[N·m],"540
","540
","540
"
变速箱类型,"2挡 自动
","2挡 自动
","2挡 自动
"
NEDC最大续航里程[km],"465
","465
","500
"
最高车速[km/h],"187
","187
","187
"
保修政策,"3年或10万公里
","3年或10万公里
","3年或10万公里
"
电池保修政策,"8年 16万公里
","8年 16万公里
","8年 16万公里
"
外观颜色,"#6e889c石磨蓝
#2e85b2安提瓜蓝
#ffffff朱璐白
#000000传奇黑
#424345天云灰
#AAA79A白金色
","#6e889c石磨蓝
#2e85b2安提瓜蓝
#ffffff朱璐白
#000000传奇黑
#424345天云灰
#AAA79A白金色
","#6e889c石磨蓝
#2e85b2安提瓜蓝
#ffffff朱璐白
#000000传奇黑
#424345天云灰
#AAA79A白金色
"
内饰颜色,"#000000,#474A4B黑色/深灰色
#000000黑色
#000000,#7F8287黑色/浅灰色
#000000,#a00a0a黑色/红色
","#000000,#474A4B黑色/深灰色
#000000,#7F8287黑色/浅灰色
#000000,#a00a0a黑色/红色
","#000000,#474A4B黑色/深灰色
#000000黑色
#000000,#959288黑色/米色
#000000,#4F382D黑色/棕色
#000000,#7F8287黑色/浅灰色
#000000,#a00a0a黑色/红色
"
车身尺寸
长*宽*高[mm],"4901*1935*1640
","4901*1935*1640
","4901*1935*1640
"
轴距[mm],"2928
","2928
","2928
"
整备质量[kg],"2625
","2625
","2625
"
座位数[个],"5
","5
","5
"
行李厢容积[L],"660-1560
","660-1560
","660-1560
"
前轮胎规格,"255/50 R20
","265/45 R21
","255/55 R19
"
后轮胎规格,"255/50 R20
","265/45 R21
","255/55 R19
"
备胎,"非全尺寸
","非全尺寸
","非全尺寸
"
最小转弯直径[m],"12.0
","12.0
","12.0
"
最小离地间隙[mm],"163
","163
","163
"
动力系统
变速箱类型,"自动
","自动
","自动
"
挡位个数,"2
","2
","2
"
电机类型,"异步
","异步
","异步
"
驱动电机数[个],"2
","2
","2
"
电机布局,"●前置
●后置
","●前置
●后置
","●前置
●后置
"
电池类型,"三元锂电池
","三元锂电池
","三元锂电池
"
电池预加热,"●
","●
","●
"
电池容量[kWh],"96.7
","96.7
","96.7
"
电池充电时间快充[h],"0.7
","0.7
","0.7
"
电池充电时间慢充[h],"9.5
","9.5
","9.5
"
耗电量[kWh/100km],"21
","21
","19.4
"
底盘制动
驱动形式,"电动四驱
","电动四驱
","电动四驱
"
前悬架类型,"多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
"
后悬架类型,"多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
"
助力类型,"电动助力
","电动助力
","电动助力
"
可调悬架功能,"●
","●
","●
"
可调悬架种类,"●空气悬架
","●空气悬架
","●空气悬架
"
前轮制动类型,"通风盘
","通风盘
","通风盘
"
后轮制动类型,"通风盘
","通风盘
","通风盘
"
驻车制动类型,"电子驻车
","电子驻车
","电子驻车
"
车体结构,"承载式
","承载式
","承载式
"
限滑差速器/差速锁,"-
","-
","-
"
安全配置
防抱死制动(ABS),"●
","●
","●
"
制动力分配(EBD/CBC等),"●
","●
","●
"
制动辅助(BA/EBA等),"●
","●
","●
"
牵引力控制(ARS/TCS等),"●
","●
","●
"
车身稳定控制(ESP/DSC等),"●
","●
","●
"
主驾驶安全气囊,"●
","●
","●
"
副驾驶安全气囊,"●
","●
","●
"
前侧气囊,"●
","●
","●
"
后侧气囊,"○选配2000元
","●
","○选配2000元
"
侧安全气帘,"●
","●
","●
"
膝部气囊,"-
","-
","-
"
安全带气囊,"-
","-
","-
"
后排中央气囊,"-
","-
","-
"
被动行人保护,"-
","-
","-
"
胎压监测,"●
","●
","●
"
零胎压续行轮胎,"-
","-
","-
"
儿童座椅接口(ISO FIX/LATCH),"●
","●
","●
"
驾驶辅助
前倒车雷达,"●
","●
","●
"
后倒车雷达,"●
","●
","●
"
倒车车侧预警系统,"○
","●
","○
"
驻车影像系统,"●360度全景摄像
","●360度全景摄像
","●后方影像
○360度全景摄像9000元
"
巡航系统,"●定速巡航
○ACC自适应巡航
","●ACC自适应巡航
","●定速巡航
○ACC自适应巡航
"
驾驶模式选择,"●
","●
","●
"
车道保持,"○
","●
","○
"
车道偏离预警,"○
","●
","○
"
道路交通标识识别,"○
","●
","○
"
并线辅助,"○
","●
","○
"
碰撞报警/主动刹车,"●
","●
","●
"
疲劳提醒,"○
","●
","○
"
自动泊车,"○选配4000元
","○选配4000元
","○选配4000元
"
遥控泊车,"-
","-
","-
"
自动驻车,"-
","-
","-
"
上坡辅助,"●
","●
","●
"
陡坡缓降,"●
","●
","●
"
夜视系统,"-
","-
","-
"
可变齿比转向,"●
","●
","●
"
整体主动转向系统,"-
","-
","-
"
外部配置
近光灯光源,"●LED
","●LED
","●LED
"
远光灯光源,"●LED
","●LED
","●LED
"
灯光特色功能,"●矩阵式
","●矩阵式
","●矩阵式
"
LED日间行车灯,"●
","●
","●
"
